"region","Total_Payments","code"
"Alabama",25702982,"AL"
"Alaska",1649913,"AK"
"Arizona",27391959,"AZ"
"Arkansas",13198502,"AR"
"California",141074272,"CA"
"Colorado",28861820,"CO"
"Connecticut",24479801,"CT"
"Delaware",6625965,"DE"
"District of columbia",5932206,"DC"
"Florida",105788817,"FL"
"Georgia",40129890,"GA"
"Hawaii",6354669,"HI"
"Idaho",7882599,"ID"
"Illinois",84094339,"IL"
"Indiana",41747244,"IN"
"Iowa",24608009,"IA"
"Kansas",19494214,"KS"
"Kentucky",19027814,"KY"
"Louisiana",22184700,"LA"
"Maine",6066189,"ME"
"Maryland",31433907,"MD"
"Massachusetts",76016493,"MA"
"Michigan",67385183,"MI"
"Minnesota",63809744,"MN"
"Mississippi",10755500,"MS"
"Missouri",41511935,"MO"
"Montana",5766871,"MT"
"Nebraska",12824437,"NE"
"Nevada",9700563,"NV"
"New hampshire",11581495,"NH"
"New jersey",57195863,"NJ"
"New mexico",8707829,"NM"
"New york",98082680,"NY"
"North carolina",62770640,"NC"
"North dakota",7273348,"ND"
"Ohio",78301787,"OH"
"Oklahoma",14977651,"OK"
"Oregon",28127223,"OR"
"Pennsylvania",97468857,"PA"
"Rhode island",4512357,"RI"
"South carolina",25009301,"SC"
"South dakota",9307806,"SD"
"Tennessee",33287733,"TN"
"Texas",104659438,"TX"
"Utah",17141815,"UT"
"Vermont",4309758,"VT"
"Virginia",52759606,"VA"
"Washington",37315335,"WA"
"West virginia",9054925,"WV"
"Wisconsin",60680542,"WI"
"Wyoming",2289458,"WY"
