time,lat,lon,date
1584381610,34.18349444,-118.4879494,2020/3/16
1584381610,39.40736389,-74.80399754,2020/3/16
1584381610,38.80728149,-104.3686245,2020/3/16
1584381610,29.24737445,-81.94416719,2020/3/16
1584381610,44.71440125,-76.29690988,2020/3/16
1584381610,44.6817627,-94.2073713,2020/3/16
1584381610,34.39352417,-110.6926369,2020/3/16
1584381610,42.5391556,-92.82757426,2020/3/16
1584381610,39.96342029,-97.28724393,2020/3/16
1584381610,29.57370564,-94.39975514,2020/3/16
1584381610,39.41999817,-76.65005891,2020/3/16
1584381610,43.00872803,-73.97421701,2020/3/16
1584381610,32.76342773,-96.91133423,2020/3/16
1584381610,39.53122931,-104.894104,2020/3/16
1584381610,30.57550049,-84.1548426,2020/3/16
1584381610,39.91300964,-84.77862814,2020/3/16
1584381610,35.50314331,-115.9526253,2020/3/16
1584381610,32.80503845,-97.84857788,2020/3/16
1584381610,39.27960205,-94.70997023,2020/3/16
1584381610,44.14691162,-86.47485777,2020/3/16
1584381610,41.51325989,-82.34783519,2020/3/16
1584381610,33.6545105,-111.6070806,2020/3/16
1584381610,41.84390259,-87.72333319,2020/3/16
1584381610,40.63847429,-75.94380465,2020/3/16
1584381610,40.86476471,-74.32843989,2020/3/16
1584381610,35.40687561,-120.9504318,2020/3/16
1584381610,40.93203735,-81.1628418,2020/3/16
1584381610,28.2011261,-82.56568909,2020/3/16
1584381610,42.7618103,-89.03170499,2020/3/16
1584381610,39.90439205,-104.2645874,2020/3/16
1584381610,45.98471949,-120.416954,2020/3/16
1584381610,31.46400581,-96.74307861,2020/3/16
1584381610,40.79637948,-73.94760132,2020/3/16
1584381610,34.21026198,-86.90071106,2020/3/16
1584381610,33.27805341,-111.9799431,2020/3/16
1584381610,33.96148682,-118.1453471,2020/3/16
1584381610,38.93641663,-121.2309663,2020/3/16
1584381610,38.43115338,-101.9038696,2020/3/16
1584381610,39.39903259,-105.4757359,2020/3/16
1584381610,35.56795799,-79.38048667,2020/3/16
1584381610,33.67695954,-112.3158073,2020/3/16
1584381610,33.29942322,-116.634375,2020/3/16
1584381610,34.81745911,-86.92382813,2020/3/16
1584381610,43.59306335,-95.05894861,2020/3/16
1584381610,38.2423375,-75.57142838,2020/3/16
1584381610,37.5017845,-78.63840518,2020/3/16
1584381610,41.84808763,-90.07300798,2020/3/16
1584381610,33.57356702,-111.7017746,2020/3/16
