"driver.name","colors","cons.name","var","key","label"
"Daniil Kvyat","#ffffff","AlphaTauri","Wins",0,"0"
"Esteban Ocon","#FFF500","Renault","Wins",0,"0"
"George Russell","#0082fa","Williams","Wins",0,"0"
"Kevin Magnussen","#787878","Haas F1 Team","Wins",0,"0"
"Kimi Räikkönen","#960000","Alfa Romeo","Wins",0,"0"
"Lance Stroll","#F596C8","Racing Point","Wins",0,"0"
"Lando Norris","#FF8700","McLaren","Wins",0,"0"
"Lewis Hamilton","#00D2BE","Mercedes","Wins",11,"11"
"Max Verstappen","#0600ef","Red Bull","Wins",2,"2"
"Nicholas Latifi","#0082fa","Williams","Wins",0,"0"
"Pierre Gasly","#ffffff","AlphaTauri","Wins",1,"1"
"Romain Grosjean","#787878","Haas F1 Team","Wins",0,"0"
"Sebastian Vettel","#DC0000","Ferrari","Wins",0,"0"
"Sergio Pérez","#F596C8","Racing Point","Wins",1,"1"
"Valtteri Bottas","#00D2BE","Mercedes","Wins",2,"2"
"Alexander Albon","#0600ef","Red Bull","BRF",10,"3RD"
"Antonio Giovinazzi","#960000","Alfa Romeo","BRF",10,"9TH"
"Carlos Sainz","#FF8700","McLaren","BRF",10,"2ND"
"Charles Leclerc","#DC0000","Ferrari","BRF",10,"2ND"
"Daniel Ricciardo","#FFF500","Renault","BRF",10,"3RD"
"Daniil Kvyat","#ffffff","AlphaTauri","BRF",10,"4TH"
"Esteban Ocon","#FFF500","Renault","BRF",10,"2ND"
"George Russell","#0082fa","Williams","BRF",10,"9TH"
"Kevin Magnussen","#787878","Haas F1 Team","BRF",10,"10TH"
"Kimi Räikkönen","#960000","Alfa Romeo","BRF",10,"9TH"
"Lance Stroll","#F596C8","Racing Point","BRF",10,"3RD"
"Lando Norris","#FF8700","McLaren","BRF",10,"3RD"
"Lewis Hamilton","#00D2BE","Mercedes","BRF",10,"1ST"
"Max Verstappen","#0600ef","Red Bull","BRF",10,"1ST"
"Nicholas Latifi","#0082fa","Williams","BRF",10,"11TH"
"Pierre Gasly","#ffffff","AlphaTauri","BRF",10,"1ST"
"Romain Grosjean","#787878","Haas F1 Team","BRF",10,"9TH"
"Sebastian Vettel","#DC0000","Ferrari","BRF",10,"3RD"
"Sergio Pérez","#F596C8","Racing Point","BRF",10,"1ST"
"Valtteri Bottas","#00D2BE","Mercedes","BRF",10,"1ST"
"Alexander Albon","#0600ef","Red Bull","BQF",10,"1ST"
"Antonio Giovinazzi","#960000","Alfa Romeo","BQF",10,"1ST"
"Carlos Sainz","#FF8700","McLaren","BQF",10,"1ST"
"Charles Leclerc","#DC0000","Ferrari","BQF",10,"1ST"
"Daniel Ricciardo","#FFF500","Renault","BQF",10,"1ST"
"Daniil Kvyat","#ffffff","AlphaTauri","BQF",10,"1ST"
"Esteban Ocon","#FFF500","Renault","BQF",10,"1ST"
"George Russell","#0082fa","Williams","BQF",10,"1ST"
"Kevin Magnussen","#787878","Haas F1 Team","BQF",10,"1ST"
"Kimi Räikkönen","#960000","Alfa Romeo","BQF",10,"1ST"
"Lance Stroll","#F596C8","Racing Point","BQF",10,"1ST"
"Lando Norris","#FF8700","McLaren","BQF",10,"1ST"
"Lewis Hamilton","#00D2BE","Mercedes","BQF",10,"1ST"
"Max Verstappen","#0600ef","Red Bull","BQF",10,"1ST"
"Nicholas Latifi","#0082fa","Williams","BQF",10,"1ST"
"Pierre Gasly","#ffffff","AlphaTauri","BQF",10,"1ST"
"Romain Grosjean","#787878","Haas F1 Team","BQF",10,"1ST"
"Sebastian Vettel","#DC0000","Ferrari","BQF",10,"1ST"
"Sergio Pérez","#F596C8","Racing Point","BQF",10,"1ST"
"Valtteri Bottas","#00D2BE","Mercedes","BQF",10,"1ST"
"Alexander Albon","#0600ef","Red Bull","DNF",1,"1"
"Antonio Giovinazzi","#960000","Alfa Romeo","DNF",3,"3"
"Carlos Sainz","#FF8700","McLaren","DNF",2,"2"
"Charles Leclerc","#DC0000","Ferrari","DNF",4,"4"
"Daniel Ricciardo","#FFF500","Renault","DNF",1,"1"
"Daniil Kvyat","#ffffff","AlphaTauri","DNF",1,"1"
"Esteban Ocon","#FFF500","Renault","DNF",4,"4"
"George Russell","#0082fa","Williams","DNF",4,"4"
