Champion,Pos,GP,P,B,P+B,W,CTR,K,D,A,KDA,KP,DTH,FB,GD10,XPD10,CSD10,CSPM,CSP15,DPM,DMG,GOLD,WPM,WCPM
Lulu,Middle,1,0.01,0.09,0.22,0,1,2,3,1,1,0.75,0.21,1,162,494,-5,7.1,0.13,181,0.14,0.22,0.26,0.26
Lulu,Support,5,0.07,0.09,0.22,0.6,0.2,4,8,52,7,0.82,0.18,0.2,42,147,-2.2,0.8,0.02,93,0.05,0.09,1.55,0.26
Lulu,Top,4,0.05,0.09,0.22,0.5,0.25,4,10,18,2.2,0.56,0.21,0.25,239,410,8.3,6.7,0.17,329,0.19,0.19,0.4,0.17
Lux,Support,5,0.07,0.04,0.11,0.4,0.4,2,9,29,3.4,0.76,0.2,0.4,-48,-183,4,1.3,0.03,121,0.08,0.09,1.8,0.46
Malphite,Top,4,0.05,0,0.05,0.5,1,8,7,26,4.9,0.67,0.16,0,-650,-403,-26.3,7,0.23,356,0.22,0.21,0.39,0.19
Maokai,Top,1,0.01,0,0.01,1,1,1,3,8,3,0.69,0.43,0,-39,59,-5,8.2,0.22,553,0.24,0.18,0.33,0.1
Miss Fortune,ADC,5,0.07,0,0.07,0.6,1,18,11,32,4.5,0.68,0.13,0.2,76,-71,3.4,9.9,0.32,534,0.26,0.27,0.37,0.45
Mordekaiser,Top,2,0.03,0.04,0.07,0,1,8,7,5,1.9,0.68,0.21,0,-134,244,2,7.4,0.23,378,0.26,0.24,0.36,0.07
Nautilus,Support,13,0.17,0.07,0.24,0.15,0.77,8,58,64,1.2,0.61,0.24,0.15,-40,-65,2,1.2,0.04,134,0.09,0.08,1.47,0.36
Nidalee,Jungle,20,0.26,0.63,0.9,0.55,0.45,65,42,115,4.3,0.69,0.17,0.25,-60,34,3.3,6.8,0.2,387,0.21,0.2,0.91,0.56
Nocturne,Middle,1,0.01,0,0.01,1,1,5,3,5,3.3,0.67,0.33,0,-875,-470,-18,8.3,0.24,331,0.18,0.24,0.5,0.19
Orianna,Middle,28,0.37,0.16,0.53,0.54,0.39,94,53,141,4.4,0.64,0.16,0.11,-181,-82,-0.8,9.1,0.27,438,0.23,0.25,0.42,0.25
Ornn,Top,29,0.38,0.53,0.91,0.48,0.1,37,66,173,3.2,0.59,0.19,0.07,-216,-122,-4.5,7.6,0.22,381,0.2,0.2,0.44,0.16
Pantheon,Support,17,0.22,0.28,0.5,0.59,0.41,44,59,94,2.3,0.55,0.31,0.35,161,-45,-0.3,1.8,0.06,280,0.15,0.11,2.21,0.74
Quinn,Top,1,0.01,0,0.01,0,1,2,4,6,2,0.89,0.27,1,495,-162,9,8.1,0.23,523,0.27,0.23,0.53,0.28
Rakan,Support,14,0.18,0.12,0.3,0.5,0.14,8,35,87,2.7,0.63,0.22,0.29,-43,53,1.4,1.3,0.04,120,0.07,0.08,1.91,0.47
Renekton,Top,22,0.29,0.4,0.68,0.36,0.14,55,82,99,1.9,0.55,0.24,0.14,74,17,5.1,8.1,0.25,377,0.21,0.23,0.43,0.23
Rengar,Jungle,1,0.01,0,0.01,1,1,2,1,10,12,0.6,0.08,0,-112,-373,-1,6.1,0.17,306,0.13,0.18,0.66,0.72
Ryze,Middle,1,0.01,0,0.01,0,1,1,4,4,1.3,0.63,0.18,0,-715,-516,-9,7.4,0.27,249,0.2,0.2,0.42,0.04
Senna,ADC,30,0.4,0.16,0.57,0.47,0.33,58,58,236,5.1,0.75,0.15,0.23,-114,-117,-0.8,7.9,0.24,447,0.24,0.22,0.42,0.36
Senna,Support,1,0.01,0.16,0.57,0,0,1,4,2,0.8,0.75,0.24,0,-247,-61,-6,1.1,0.05,360,0.24,0.12,1.38,0.95
Sett,Jungle,1,0.01,0.3,0.53,0,1,0,1,4,4,0.57,0.09,0,-426,-480,-9,5.8,0.15,131,0.1,0.16,0.4,0.47
Sett,Middle,3,0.04,0.3,0.53,1,0.33,9,1,22,31,0.57,0.05,0.67,383,-64,9.7,7.9,0.21,335,0.15,0.2,0.36,0.25
Sett,Support,9,0.12,0.3,0.53,0.44,0.44,17,45,68,1.9,0.6,0.29,0.22,85,-128,0.4,1.4,0.04,261,0.12,0.1,1.6,0.6
Sett,Top,4,0.05,0.3,0.53,0.5,1,13,12,18,2.6,0.57,0.29,0.25,358,530,13.3,7.6,0.21,493,0.28,0.23,0.38,0.23
Shen,Jungle,2,0.03,0.32,0.42,0.5,1,7,6,8,2.5,0.6,0.21,0.5,551,442,6.5,5.6,0.14,164,0.1,0.17,1.09,0.63
Shen,Top,6,0.08,0.32,0.42,0.67,1,12,18,45,3.2,0.6,0.26,0.17,288,255,8.2,7.2,0.22,344,0.16,0.19,0.45,0.16
Singed,Top,1,0.01,0,0.01,1,1,2,3,8,3.3,0.67,0.6,0,-279,-234,-13,7.8,0.25,341,0.2,0.21,0.47,0.03
Sion,Top,6,0.08,0.01,0.09,0.5,1,12,14,28,2.9,0.41,0.16,0.17,66,98,2,8.4,0.25,333,0.17,0.21,0.46,0.11
Sylas,Jungle,2,0.03,0.12,0.26,1,0.5,5,4,20,6.3,0.61,0.25,0.5,521,919,17,6.3,0.16,333,0.16,0.17,0.28,0.4
Sylas,Middle,8,0.11,0.12,0.26,0.5,1,29,18,43,4,0.77,0.16,0.38,-91,53,-0.1,8.3,0.24,499,0.26,0.23,0.29,0.26
Sylas,Top,1,0.01,0.12,0.26,1,1,5,0,6,11,0.58,0,1,413,47,6,8.4,0.24,353,0.21,0.22,0.45,0.1
Syndra,Middle,28,0.37,0.53,0.9,0.5,0.32,84,65,122,3.2,0.57,0.19,0.11,261,199,9.8,8.7,0.26,500,0.26,0.24,0.44,0.19
Tahm Kench,Support,15,0.2,0.18,0.38,0.53,0.67,17,55,127,2.6,0.6,0.25,0.07,-118,-177,-1.2,1,0.02,157,0.07,0.09,1.89,0.28
Taric,Support,3,0.04,0,0.04,0.33,1,0,5,13,2.6,0.59,0.16,0,11,-84,-6.3,1.1,0.03,46,0.04,0.08,1.69,0.27
