Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,MH,VOD
Semifinals,DAMWON Gaming,G2 Esports,1-1月,2,10.19,Shen,Lucian,Syndra,Nidalee,Jhin,Lillia,Graves,"Twisted Fate, Kindred","Ashe, Sylas",Camille,Renekton,Caitlyn,Pantheon,Tahm Kench,Leona,"Sett, Fiora",Ezreal,Jungle,Bot,Mid,Support,Top,Mid,Jungle,Top,Support,Bot,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552617?gameHash=e950b38f5ff15dfc,https://youtu.be/qx-L0IcBMvI?t=44
Semifinals,G2 Esports,DAMWON Gaming,0 - 1,2,10.19,Camille,Ornn,Nidalee,Volibear,Syndra,Shen,Lucian,"Jhin, Twisted Fate","Lillia, Renekton",Hecarim,Ashe,Kennen,Tahm Kench,Pantheon,Gangplank,"Sylas, Rakan",Leona,Bot,Jungle,Top,Mid,Support,Bot,Mid,Jungle,Top,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552615?gameHash=95af478d0ede5bc8,https://youtu.be/F9PZIypclmA?t=233
Quarterfinals,G2 Esports,Gen.G,3 - 0,1,10.19,Sett,Ornn,Kalista,Lillia,Nidalee,Lucian,Graves,"Twisted Fate, Kindred","Jhin, Sylas",Ezreal,Nautilus,Karma,Pantheon,Gragas,Tahm Kench,"Rakan, Renekton",Volibear,Jungle,Bot,Mid,Support,Top,Mid,Jungle,Bot,Support,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532722?gameHash=ca88ed2a2ff0c3c5,https://youtu.be/sZ_dmTXMn4s?t=193
Quarterfinals,Gen.G,G2 Esports,0 - 2,2,10.19,Syndra,Sett,Ornn,Lucian,Graves,Renekton,Camille,"Lillia, Shen","Nidalee, Twisted Fate",Sylas,Kalista,Pantheon,Senna,Thresh,Jhin,"Ashe, Leona",Tahm Kench,Top,Jungle,Mid,Bot,Support,Jungle,Top,Mid,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532721?gameHash=f5d175dd6698e858,https://youtu.be/JmvomX6larM?t=102
Quarterfinals,Gen.G,G2 Esports,0 - 1,2,10.19,Syndra,Sett,Ornn,Lucian,Graves,Renekton,Lillia,"Camille, Nidalee","Volibear, Kalista",Twisted Fate,Gragas,Ashe,Galio,Senna,Pantheon,"Taric, Azir",Jhin,Jungle,Top,Bot,Support,Mid,Top,Jungle,Mid,Support,Bot,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532710?gameHash=31ec0cdc04907462,https://youtu.be/4TjOoy_fupE?t=70
Quarterfinals,Fnatic,Top Esports,3-2月,2,10.19,Syndra,Lucian,Sett,Orianna,Lulu,Graves,Senna,"Ezreal, Lee Sin","Rakan, Twisted Fate",Sylas,Kindred,Yuumi,Camille,Sion,Leona,"Gangplank, Gragas",Vladimir,Bot,Support,Mid,Top,Jungle,Bot,Jungle,Mid,Support,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552438?gameHash=3762217f675fa4f3,https://youtu.be/QXcfiDFgthY?t=40
Quarterfinals,Fnatic,Top Esports,2-2月,2,10.19,Syndra,Orianna,Sylas,Twisted Fate,Ezreal,Lucian,Graves,"Senna, Nidalee","Ashe, Sett",Tahm Kench,Braum,Renekton,Rakan,Camille,Jayce,"Ornn, Galio",Sion,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Mid,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552437?gameHash=470a7b68d0d37f8a,https://youtu.be/XZlSgg5DYIo?t=31
Quarterfinals,Top Esports,Fnatic,2-1月,1,10.19,Twisted Fate,Syndra,Graves,Lucian,Leona,Sett,Orianna,"Jhin, Ornn","Sion, Ezreal",Rakan,Yuumi,Akali,Bard,Kindred,Vel'Koz,"Lee Sin, Karma",Kha'Zix,Mid,Top,Bot,Jungle,Support,Bot,Top,Support,Mid,Jungle,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552434?gameHash=cb356d2acebc8140,https://youtu.be/NZo7pXcnE-M?t=44
Quarterfinals,Top Esports,Fnatic,0 - 2,2,10.19,Rakan,Syndra,Twisted Fate,Lucian,Graves,Sett,Senna,"Ashe, Orianna","Tahm Kench, Sylas",Braum,Camille,Volibear,Vladimir,Hecarim,Ornn,"Gangplank, Jarvan IV",Kindred,Bot,Support,Mid,Top,Jungle,Bot,Mid,Support,Top,Jungle,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552433?gameHash=cd4ef491969b9952,https://youtu.be/NJPbzf06Wgg?t=10
Quarterfinals,Top Esports,Fnatic,0 - 1,2,10.19,Volibear,Syndra,Twisted Fate,Lucian,Orianna,Sett,Graves,"Senna, Kindred","Ezreal, Zoe",Galio,Yuumi,Shen,Bard,Camille,Rakan,"Leona, Ornn",Singed,Jungle,Bot,Mid,Support,Top,Bot,Jungle,Mid,Support,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1552420?gameHash=a24558c524110124,https://youtu.be/oXEFwheiX9U?t=109
