Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,MH,VOD
Day 5,Team Liquid,G2 Esports,0 - 1,2,10.19,Camille,Ornn,Lucian,Graves,Twisted Fate,Lillia,Sett,"Volibear, Ashe","Kalista, Syndra",Ekko,Lee Sin,Nidalee,Kindred,Irelia,Tahm Kench,"Lulu, Hecarim",Sylas,Support,Bot,Mid,Top,Jungle,Jungle,Bot,Mid,Support,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551906?gameHash=43af3f5d7caa9576,https://youtu.be/XkSlkhWATzM?t=99
Day 4,TSM,LGD Gaming,0 - 1,2,10.19,Kindred,Lucian,Nidalee,Caitlyn,Ornn,Twisted Fate,Graves,"Renekton, Senna","Shen, LeBlanc",Lillia,Twitch,Leona,Jhin,Sylas,Orianna,"Ezreal, Bard",Nautilus,Jungle,Top,Mid,Bot,Support,Top,Bot,Jungle,Mid,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551839?gameHash=1a65d691a11d5a2f,https://youtu.be/6WrcsWD0H1U?t=360
Day 4,Fnatic,Gen.G,1 - 0,1,10.19,Kalista,Lucian,Sett,Thresh,Twisted Fate,Evelynn,Ornn,"Renekton, Nidalee","Graves, Senna",Ezreal,Nautilus,Pantheon,Syndra,Karma,Rakan,"Leona, Orianna",Azir,Top,Jungle,Bot,Support,Mid,Top,Jungle,Bot,Support,Mid,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551831?gameHash=df21732c8db3805b,https://youtu.be/koIZaUxyKrE?t=50
Day 4,Top Esports,Unicorns Of Love.CIS,1 - 0,1,10.19,Swain,Nidalee,Kassadin,Caitlyn,Renekton,Ashe,Lucian,"Syndra, Camille","Gragas, Jax",Karthus,Leona,Twitch,Pantheon,Alistar,Nautilus,"Senna, Tahm Kench",Lee Sin,Mid,Jungle,Top,Bot,Support,Mid,Top,Bot,Support,Jungle,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551821?gameHash=b5bd69c62b6b2dad,https://youtu.be/8UYGNcMlLiw?t=254
Day 4,DRX,FlyQuest,1 - 0,1,10.19,Syndra,Lucian,Volibear,Twisted Fate,Renekton,Nidalee,Caitlyn,"Ashe, Graves","Kindred, Lux",Ornn,Sylas,Blitzcrank,Camille,Nautilus,Pantheon,"Maokai, Zoe",Orianna,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Top,Support,Mid,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551814?gameHash=7229599904bd9388,https://youtu.be/JV22iqbLd24?t=46
Day 4,Suning,Machi Esports,1 - 0,1,10.19,Ornn,Twisted Fate,Graves,Camille,Renekton,Lucian,Nidalee,"Volibear, Ashe","Jax, Syndra",Shen,Senna,Akali,Leona,Kassadin,Azir,"Ezreal, Bard",Rakan,Jungle,Top,Mid,Bot,Support,Jungle,Bot,Top,Mid,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551806?gameHash=a6c1bc700030c06d,https://youtu.be/8WZGFHeZtCU?t=32
Day 4,G2 Esports,Team Liquid,0 - 1,2,10.19,Mordekaiser,Lucian,Ornn,Camille,Shen,Twisted Fate,Renekton,"Volibear, Graves","Nidalee, Ashe",Kalista,Tahm Kench,Leona,Pantheon,Syndra,Sett,"Alistar, Jayce",Orianna,Top,Jungle,Bot,Support,Mid,Top,Jungle,Bot,Support,Mid,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551799?gameHash=21aa0ed931152a44,https://youtu.be/onybrPhBR_I?t=49
Day 3,Top Esports,DRX,1 - 0,1,10.19,Lillia,Lucian,Caitlyn,Syndra,Graves,Ashe,Nidalee,"Twisted Fate, Lee Sin","Renekton, Senna",Quinn,Galio,Ezreal,Orianna,Kalista,Draven,"Nocturne, Tahm Kench",Thresh,Jungle,Top,Bot,Mid,Support,Mid,Jungle,Top,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551775?gameHash=a3365ff6965a314b,https://youtu.be/UzC-_52as98?t=294
Day 3,FlyQuest,Unicorns Of Love.CIS,1 - 0,1,10.19,Nidalee,Shen,Camille,Ashe,Swain,Caitlyn,Renekton,"Orianna, Graves","Volibear, Syndra",Ornn,Ezreal,Twitch,Jhin,Lucian,Senna,"Miss Fortune, Rakan",Tahm Kench,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Top,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551764?gameHash=b9620e4d92ac9c22,https://youtu.be/BiElFM-p_w4?t=45
Day 3,JD Gaming,Rogue (European Team),1 - 0,1,10.19,Irelia,Twisted Fate,Akali,Lucian,Shen,Camille,Renekton,"Nidalee, Volibear","Lillia, Zoe",Ashe,Ezreal,Syndra,Jhin,Lulu,Azir,"Caitlyn, Bard",Blitzcrank,Top,Jungle,Mid,Bot,Support,Jungle,Top,Bot,Mid,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551755?gameHash=9b2193900935611c,https://youtu.be/w1pH98U9amo?t=23
Day 3,DAMWON Gaming,PSG Talon,1 - 0,1,10.19,Ornn,Camille,Renekton,Nidalee,Orianna,Lucian,Graves,"Kindred, Ashe","Senna, Syndra",Azir,Irelia,Bard,Wukong,Jayce,Lulu,"Thresh, Kennen",Nautilus,Jungle,Bot,Mid,Support,Top,Jungle,Bot,Mid,Top,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551746?gameHash=6dad4a6151e8505b,https://youtu.be/8wUyP7LVPdw?t=74
Day 3,Team Liquid,Suning,0 - 1,2,10.19,Camille,Shen,Renekton,Ornn,Ashe,Twisted Fate,Syndra,"Nidalee, Galio","Twitch, Rakan",Draven,Mordekaiser,Wukong,Graves,Sett,Leona,"Lee Sin, Volibear",Jax,Mid,Bot,Support,Jungle,Top,Jungle,Mid,Bot,Support,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551740?gameHash=399a91f7caff4219,https://youtu.be/jo08OwGnwyw?t=463
Day 3,Machi Esports,G2 Esports,0 - 1,2,10.19,Twisted Fate,Sett,Shen,Ornn,Lucian,Renekton,Graves,"Ashe, Nidalee","Syndra, Senna",Camille,Volibear,Leona,Wukong,Ekko,Galio,"Pantheon, Mordekaiser",Tahm Kench,Jungle,Mid,Bot,Support,Top,Bot,Jungle,Top,Mid,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551729?gameHash=8ea67b0ac706101e,https://youtu.be/s6TkGcVlLQ0?t=37
Day 2,LGD Gaming,Fnatic,1 - 0,1,10.19,Evelynn,Twisted Fate,Lucian,Renekton,Shen,Leona,Ornn,"Graves, Syndra","Kindred, Ekko",Thresh,Ezreal,Volibear,Rakan,Gangplank,Jhin,"Miss Fortune, Nautilus",Sett,Top,Jungle,Mid,Bot,Support,Jungle,Mid,Support,Bot,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551701?gameHash=a7ffdb83f7de1396,https://youtu.be/AhSGuSCYP_w?t=40
Day 2,Gen.G,TSM,1 - 0,1,10.19,Caitlyn,Kalista,Twisted Fate,Lucian,Ornn,Azir,Sett,"Renekton, Nidalee","Lillia, Volibear",Rakan,Zoe,Twitch,Ashe,Syndra,Senna,"Ezreal, Karma",Zilean,Mid,Jungle,Top,Bot,Support,Top,Jungle,Support,Bot,Mid,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551690?gameHash=6fb73716bb2f1093,https://youtu.be/fXhnVwl91BQ?t=107
Day 2,PSG Talon,JD Gaming,0 - 1,2,10.19,Lucian,Senna,Camille,Rakan,Nidalee,Twisted Fate,Ornn,"Sett, Ashe","Graves, Jhin",Sylas,Leona,Kindred,Thresh,Lillia,Pantheon,"Syndra, Bard",Ekko,Top,Jungle,Bot,Mid,Support,Top,Bot,Jungle,Support,Mid,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551682?gameHash=17b5d64b755be453,https://youtu.be/YXRyWpNDUb8?t=409
Day 2,Rogue (European Team),DAMWON Gaming,0 - 1,2,10.19,Twisted Fate,Lucian,Camille,Ornn,Nidalee,Renekton,Hecarim,"Ashe, Graves","Syndra, Kalista",Pantheon,Shen,Akali,Rakan,Vladimir,Sylas,"Gangplank, Taric",Lulu,Jungle,Mid,Bot,Top,Support,Bot,Jungle,Support,Mid,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551672?gameHash=75545d324e8b50cc,https://youtu.be/CDG8wQVhP3o?t=40
Day 2,G2 Esports,Suning,1 - 0,1,10.19,Caitlyn,Shen,Nidalee,Lucian,Lillia,Ornn,Twisted Fate,"Renekton, Syndra","Graves, Volibear",Lee Sin,Kalista,Thresh,Twitch,Tahm Kench,Ashe,"Ezreal, Bard",Nautilus,Mid,Jungle,Top,Bot,Support,Top,Mid,Jungle,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551661?gameHash=51b3b3e0f7637c53,https://youtu.be/kedHaPEaQQI?t=243
Day 2,Machi Esports,Team Liquid,1 - 0,1,10.19,Twisted Fate,Nidalee,Twitch,Sett,Shen,Ashe,Ornn,"Graves, Orianna","Volibear, Syndra",Mordekaiser,Nautilus,Rakan,Pantheon,Thresh,Caitlyn,"Ezreal, Karma",Lux,Top,Jungle,Mid,Bot,Support,Jungle,Mid,Top,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551654?gameHash=53303cb81029cfd9,https://youtu.be/L7Q3UFwOHYM?t=150
Day 1,TSM,Fnatic,0 - 1,2,10.19,Thresh,Twisted Fate,Shen,Caitlyn,Gangplank,Renekton,Nidalee,"Lucian, Rakan","Camille, Syndra",Evelynn,Leona,Twitch,Lulu,Ornn,Volibear,"Senna, Alistar",Jhin,Jungle,Top,Mid,Bot,Support,Mid,Support,Jungle,Top,Bot,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551597?gameHash=93c36e7a8bc6a605,https://youtu.be/Vuf95U8bYQY?t=105
Day 1,Gen.G,LGD Gaming,1 - 0,1,10.19,Ornn,Kalista,Graves,Lillia,Twisted Fate,Nidalee,Lucian,"Renekton, Syndra","Gragas, Ashe",Kindred,Evelynn,Jhin,Zoe,Ezreal,Leona,"Volibear, Sett",Senna,Mid,Jungle,Bot,Top,Support,Top,Mid,Jungle,Support,Bot,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551583?gameHash=7a4670b91e48c3f6,https://youtu.be/CKx5mshVrmE?t=15
Day 1,DAMWON Gaming,JD Gaming,1 - 0,1,10.19,Ornn,Akali,Graves,Lucian,Renekton,Pantheon,Camille,"Ashe, Lillia","Nidalee, Twisted Fate",Volibear,Kalista,Sett,Senna,Thresh,Jayce,"Jhin, Leona",Nautilus,Top,Jungle,Mid,Bot,Support,Bot,Jungle,Top,Mid,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551575?gameHash=35d6f77fd024e968,https://youtu.be/wGO6r9w27TY?t=546
Day 1,Rogue (European Team),PSG Talon,1 - 0,1,10.19,Twisted Fate,Hecarim,Nidalee,Lillia,Mordekaiser,Ornn,Lucian,"Graves, Renekton","Evelynn, Kalista",Senna,Gangplank,Syndra,Shen,Azir,Orianna,"Malphite, Rakan",Nautilus,Mid,Jungle,Bot,Top,Support,Jungle,Top,Bot,Mid,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551557?gameHash=ced3b5fa68c024a6,https://youtu.be/Kjz8sQ41sSE?t=84
Day 1,Unicorns Of Love.CIS,DRX,0 - 1,2,10.19,Caitlyn,Swain,Lucian,Syndra,Sylas,Hecarim,Renekton,"Ashe, Nidalee","Evelynn, Jhin",Ornn,Braum,Irelia,Karma,Jayce,Pantheon,"Orianna, Alistar",Sett,Top,Jungle,Bot,Mid,Support,Bot,Jungle,Top,Support,Mid,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551544?gameHash=6cb88e0481808310,https://youtu.be/B1P4sYMGkv8?t=107
Day 1,FlyQuest,Top Esports,0 - 1,2,10.19,Nidalee,Shen,Ekko,Lucian,Caitlyn,Ashe,Lillia,"Senna, Graves","Jhin, Syndra",Akali,Renekton,Jax,Ornn,Jayce,Camille,"Thresh, Volibear",Sett,Jungle,Bot,Mid,Support,Top,Bot,Jungle,Mid,Top,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551530?gameHash=98806d5bec486455,https://youtu.be/_txHy0BjXBA?t=478
