Player,Team,Pos,GP,W,CTR,K,D,A,KDA,KP,KS,DTH,FB,GD10,XPD10,CSD10,CSPM,CSP15,DPM,DMG,EGPM,GOLD,WPM,WCPM
Pyosik,DRX,Jungle,9.00,0.44,0.56,37.00,21.00,42.00,3.80,0.77,0.36,0.24,0.56,155.00,163.00,2.20,6.80,0.19,398.00,0.20,234.00,0.20,0.53,0.48
Rascal,Gen.G,Top,9.00,0.56,0.67,26.00,37.00,46.00,1.90,0.61,0.22,0.25,0.33,241.00,152.00,5.30,7.90,0.25,423.00,0.22,254.00,0.22,0.34,0.24
Rekkles,Fnatic,ADC,11.00,0.55,0.36,25.00,12.00,66.00,7.60,0.70,0.19,0.11,0.45,303.00,199.00,6.30,9.20,0.28,352.00,0.21,279.00,0.24,0.36,0.43
River,PSG Talon,Jungle,6.00,0.33,0.67,11.00,15.00,21.00,2.10,0.84,0.29,0.22,0.33,69.00,-519.00,-12.70,6.10,0.19,238.00,0.17,195.00,0.20,0.33,0.50
Ruler,Gen.G,ADC,9.00,0.56,0.56,33.00,21.00,48.00,3.90,0.69,0.28,0.14,0.22,-94.00,23.00,1.20,9.10,0.30,671.00,0.32,307.00,0.26,0.50,0.40
SaNTaS,Unicorns Of Love.CIS,Support,6.00,0.00,0.50,2.00,28.00,29.00,1.10,0.55,0.04,0.20,0.00,-175.00,-96.00,3.50,1.20,0.03,102.00,0.05,77.00,0.08,1.54,0.35
Santorin,FlyQuest,Jungle,6.00,0.50,0.50,14.00,16.00,31.00,2.80,0.63,0.19,0.20,0.33,12.00,127.00,3.80,5.30,0.16,301.00,0.18,185.00,0.17,0.34,0.39
Selfmade,Fnatic,Jungle,11.00,0.55,0.64,37.00,23.00,53.00,3.90,0.69,0.28,0.21,0.55,127.00,80.00,1.10,7.10,0.22,396.00,0.23,245.00,0.22,0.33,0.30
ShowMaker,DWG KIA,Middle,17.00,0.82,0.24,65.00,31.00,102.00,5.40,0.59,0.23,0.19,0.18,91.00,-48.00,-1.00,8.50,0.24,475.00,0.22,288.00,0.23,0.41,0.23
SofM,Suning,Jungle,19.00,0.63,0.42,53.00,45.00,133.00,4.10,0.65,0.19,0.19,0.42,-61.00,161.00,6.90,6.90,0.21,369.00,0.17,236.00,0.20,1.13,0.79
Solo,FlyQuest,Top,6.00,0.50,0.33,7.00,27.00,25.00,1.20,0.44,0.10,0.34,0.00,-297.00,-64.00,6.30,7.60,0.23,415.00,0.23,223.00,0.21,0.38,0.16
Spica,TSM,Jungle,6.00,0.00,0.17,11.00,13.00,19.00,2.30,0.63,0.23,0.15,0.33,97.00,-123.00,-3.50,6.20,0.19,325.00,0.20,181.00,0.20,0.54,0.36
SwordArt,Suning,Support,19.00,0.63,0.32,18.00,62.00,160.00,2.90,0.63,0.06,0.26,0.26,48.00,123.00,1.30,1.10,0.03,142.00,0.07,103.00,0.09,1.79,0.41
Tactical,Team Liquid,ADC,6.00,0.50,0.50,24.00,17.00,32.00,3.30,0.72,0.31,0.27,0.67,-31.00,117.00,-5.70,8.80,0.27,472.00,0.27,283.00,0.26,0.44,0.39
Tank,PSG Talon,Middle,6.00,0.33,0.50,10.00,12.00,14.00,2.00,0.63,0.26,0.18,0.00,90.00,75.00,3.50,8.80,0.26,344.00,0.24,232.00,0.24,0.38,0.12
Unified,PSG Talon,ADC,6.00,0.33,0.50,10.00,12.00,16.00,2.20,0.68,0.26,0.18,0.17,-162.00,139.00,-2.50,8.30,0.26,388.00,0.28,232.00,0.23,0.49,0.29
Vander,Rogue,Support,6.00,0.17,0.67,6.00,19.00,31.00,1.90,0.70,0.11,0.22,0.50,7.00,-11.00,-2.30,1.20,0.04,134.00,0.09,88.00,0.09,1.79,0.29
WildTurtle,FlyQuest,ADC,6.00,0.50,0.67,20.00,11.00,25.00,4.10,0.63,0.28,0.14,0.33,370.00,225.00,2.70,8.90,0.30,443.00,0.25,299.00,0.27,0.33,0.30
Wunder,G2 Esports,Top,14.00,0.57,0.50,38.00,43.00,87.00,2.90,0.55,0.17,0.21,0.14,63.00,-116.00,4.70,8.00,0.24,375.00,0.18,251.00,0.21,0.48,0.19
Xiye,LGD Gaming,Middle,6.00,0.50,0.67,30.00,15.00,34.00,4.30,0.76,0.36,0.18,0.17,86.00,126.00,1.80,8.60,0.26,512.00,0.27,280.00,0.26,0.40,0.23
Yagao,JD Gaming,Middle,10.00,0.50,0.70,23.00,26.00,68.00,3.50,0.66,0.17,0.17,0.10,34.00,10.00,-1.30,8.00,0.23,399.00,0.21,253.00,0.22,0.34,0.24
yuyanjia,Top Esports,Support,15.00,0.60,0.60,9.00,38.00,121.00,3.40,0.64,0.05,0.24,0.07,-63.00,6.00,-2.00,1.10,0.03,136.00,0.07,99.00,0.09,1.77,0.41
Zoom,JD Gaming,Top,10.00,0.50,0.40,38.00,35.00,41.00,2.30,0.58,0.28,0.24,0.30,224.00,-89.00,3.80,8.30,0.25,428.00,0.23,285.00,0.24,0.44,0.23
