,date,state,PM2.5,CO,NO2,PM10,SO2
634,2020-01-24,Idaho,33.5,0.2,15.2,14,15.9
661,2020-01-25,Idaho,23.8,0.2,21.4,15,17
688,2020-01-26,Idaho,17.9,0.2,20.7,8,7.1
715,2020-01-27,Idaho,15.1,0.3,24.7,15,19.4
742,2020-01-28,Idaho,18.6,0.3,31.4,11,13.5
769,2020-01-29,Idaho,13.1,0.3,28.2,10,4.2
796,2020-01-30,Idaho,10.1,0.2,19.4,14,6.2
823,2020-01-31,Idaho,6.7,0.2,18,23,2
850,2020-02-01,Idaho,1.2,0.2,18.5,21,2
877,2020-02-02,Idaho,8.1,0.2,11.7,6,15.5
904,2020-02-03,Idaho,14.1,0.1,5.9,10,2.2
931,2020-02-04,Idaho,8.8,0.2,30.2,14,17.4
958,2020-02-05,Idaho,8.8,0.3,25.7,7,26.9
985,2020-02-06,Idaho,21,0.4,32.1,10,12.3
1012,2020-02-07,Idaho,22.2,0.4,25.8,10,22.4
1039,2020-02-08,Idaho,8.7,0.2,12.8,8,22.7
1066,2020-02-09,Idaho,5.5,0.2,16.7,7,14
1093,2020-02-10,Idaho,11.9,0.3,26.9,17,18.6
1120,2020-02-11,Idaho,20.5,0.5,37.5,23,12.2
1147,2020-02-12,Idaho,10.3,0.5,39.7,21,4.7
1174,2020-02-13,Idaho,9.7,0.3,36,24,8.7
1201,2020-02-14,Idaho,3.8,0.3,37.5,21,36
1228,2020-02-15,Idaho,7.9,0.3,24,13,28
1255,2020-02-16,Idaho,11,0.2,15.3,6,31.8
1282,2020-02-17,Idaho,10.5,0.3,33.4,14,22.5
1309,2020-02-18,Idaho,9.7,0.3,35.7,21,17
1336,2020-02-19,Idaho,8.2,0.3,25.7,19,1.4
1363,2020-02-20,Idaho,13.1,0.2,15,21,1.2
1390,2020-02-21,Idaho,14.5,0.3,42.1,26,1.4
1417,2020-02-22,Idaho,15.9,0.4,37.9,29,1.8
1444,2020-02-23,Idaho,10.2,0.5,28.6,24,15.6
1471,2020-02-24,Idaho,8.5,0.2,27.1,14,25.7
1498,2020-02-25,Idaho,14.2,0.3,39.1,28,3.3
1525,2020-02-26,Idaho,9.8,0.3,38.2,29,2.5
1552,2020-02-27,Idaho,9.9,0.4,43.6,33,5
1579,2020-02-28,Idaho,7.3,0.4,20.8,29,1.7
1606,2020-02-29,Idaho,4,0.2,17.9,15,24.1
1633,2020-03-01,Idaho,4.1,0.2,7.5,8,2.1
1660,2020-03-02,Idaho,4.8,0.3,33.5,20,30.9
1687,2020-03-03,Idaho,2.5,0.3,29.3,23,31.4
1714,2020-03-04,Idaho,3.6,0.3,28.6,25,32.7
1741,2020-03-05,Idaho,10.4,0.2,18.3,24,11.3
1768,2020-03-06,Idaho,12.8,0.2,20,29,3.1
1795,2020-03-07,Idaho,9.6,0.2,18.2,22,20.4
1821,2020-03-08,Idaho,8.4,0.2,29.8,12,6.3
1847,2020-03-09,Idaho,5,0.3,31.1,12,18.5
1874,2020-03-10,Idaho,9.5,0.3,31.2,19,24.5
1901,2020-03-11,Idaho,6.7,0.2,22.6,18,39.6
1928,2020-03-12,Idaho,14.2,0.2,38.2,19,28.3
1955,2020-03-13,Idaho,7.6,0.3,33.4,29,6.6
1982,2020-03-14,Idaho,3,0.2,9.5,16,4.2
2009,2020-03-15,Idaho,3.9,0.2,11.6,12,4.6
2036,2020-03-16,Idaho,10.1,0.3,19.8,17,6.2
2063,2020-03-17,Idaho,11.5,0.2,23.6,17,8.5
2090,2020-03-18,Idaho,8.9,0.2,20.6,13,20.3
2117,2020-03-19,Idaho,12,0.4,31.5,19,15.5
2144,2020-03-20,Idaho,10.2,0.2,28.4,18,4.5
2171,2020-03-21,Idaho,13.9,0.3,25,16,3
2198,2020-03-22,Idaho,16.3,0.3,28,14,11.3
2225,2020-03-23,Idaho,10.5,0.2,12,17,7.1
2252,2020-03-24,Idaho,6,0.1,12.8,11,19.5
2279,2020-03-25,Idaho,6.9,0.2,23.9,11,28.1
2306,2020-03-26,Idaho,8.4,0.2,38.8,12,46
2333,2020-03-27,Idaho,12.1,0.3,28.5,16,34.6
2360,2020-03-28,Idaho,12.9,0.2,26.5,11,24.1
2387,2020-03-29,Idaho,9.4,0.2,10.4,7,8.2
2414,2020-03-30,Idaho,6.4,0.1,7.1,9,17.8
2441,2020-03-31,Idaho,6,0.1,18.7,4,21.5
2467,2020-04-01,Idaho,7,0.1,NA,NA,NA
2493,2020-04-02,Idaho,5,NA,NA,NA,NA
2519,2020-04-03,Idaho,5.5,NA,NA,NA,NA
2545,2020-04-04,Idaho,5,NA,NA,NA,NA
2571,2020-04-05,Idaho,5.2,NA,NA,NA,NA
2597,2020-04-06,Idaho,8.2,NA,NA,NA,NA
2623,2020-04-07,Idaho,12.9,NA,NA,NA,NA
2650,2020-04-08,Idaho,8.1,NA,NA,NA,NA
2676,2020-04-09,Idaho,6.2,NA,NA,NA,NA
2703,2020-04-10,Idaho,6.5,NA,NA,NA,NA
2730,2020-04-11,Idaho,4.7,NA,NA,NA,NA
2757,2020-04-12,Idaho,7.5,NA,NA,NA,NA
2784,2020-04-13,Idaho,8.2,NA,NA,NA,NA
2811,2020-04-14,Idaho,6.3,NA,NA,NA,NA
2838,2020-04-15,Idaho,1.8,NA,NA,NA,NA
2865,2020-04-16,Idaho,4,NA,NA,NA,NA
2891,2020-04-17,Idaho,7.8,NA,NA,NA,NA
2917,2020-04-18,Idaho,6.6,NA,NA,NA,NA
2943,2020-04-19,Idaho,4.8,NA,NA,NA,NA
2970,2020-04-20,Idaho,4.7,NA,NA,NA,NA
2996,2020-04-21,Idaho,5.4,NA,NA,NA,NA
3022,2020-04-22,Idaho,4.1,NA,NA,NA,NA
3049,2020-04-23,Idaho,2.8,NA,NA,NA,NA
3076,2020-04-24,Idaho,2.9,NA,NA,NA,NA
3102,2020-04-25,Idaho,3,NA,NA,NA,NA
3128,2020-04-26,Idaho,5.2,NA,NA,NA,NA
3155,2020-04-27,Idaho,2.4,NA,NA,NA,NA
3182,2020-04-28,Idaho,3.6,NA,NA,NA,NA
3209,2020-04-29,Idaho,3.2,NA,NA,NA,NA
3236,2020-04-30,Idaho,1.9,NA,NA,NA,NA
3263,2020-05-01,Idaho,4.3,NA,NA,NA,NA
3290,2020-05-02,Idaho,3.2,NA,NA,NA,NA
3315,2020-05-03,Idaho,-0.8,NA,NA,NA,NA
3339,2020-05-04,Idaho,3.2,NA,NA,NA,NA
3365,2020-05-05,Idaho,2.6,NA,NA,NA,NA
3392,2020-05-06,Idaho,2.3,NA,NA,NA,NA
3419,2020-05-07,Idaho,3.2,NA,NA,NA,NA
3446,2020-05-08,Idaho,1,NA,NA,NA,NA
3473,2020-05-09,Idaho,1.4,NA,NA,NA,NA
3499,2020-05-10,Idaho,0.8,NA,NA,NA,NA
3526,2020-05-11,Idaho,1.4,NA,NA,NA,NA
3553,2020-05-12,Idaho,2.4,NA,NA,NA,NA
3579,2020-05-13,Idaho,1.2,NA,NA,NA,NA
3605,2020-05-14,Idaho,2,NA,NA,NA,NA
3631,2020-05-15,Idaho,1,NA,NA,NA,NA
3657,2020-05-16,Idaho,2.5,NA,NA,NA,NA
3682,2020-05-17,Idaho,2,NA,NA,NA,NA
3707,2020-05-18,Idaho,1.4,NA,NA,NA,NA
3731,2020-05-19,Idaho,0.1,NA,NA,NA,NA
3757,2020-05-20,Idaho,2.3,NA,NA,NA,NA
3784,2020-05-21,Idaho,2,NA,NA,NA,NA
3810,2020-05-22,Idaho,2.7,NA,NA,NA,NA
3837,2020-05-23,Idaho,4.3,NA,NA,NA,NA
3864,2020-05-24,Idaho,3.2,NA,NA,NA,NA
3890,2020-05-25,Idaho,2.5,NA,NA,NA,NA
3914,2020-05-26,Idaho,0.7,NA,NA,NA,NA
3939,2020-05-27,Idaho,3,NA,NA,NA,NA
3965,2020-05-28,Idaho,3.5,NA,NA,NA,NA
3989,2020-05-29,Idaho,4.3,NA,NA,NA,NA
4013,2020-05-30,Idaho,4.2,NA,NA,NA,NA
4039,2020-05-31,Idaho,2.2,NA,NA,NA,NA
4065,2020-06-01,Idaho,3.4,NA,NA,NA,NA
4092,2020-06-02,Idaho,1.5,NA,NA,NA,NA
4119,2020-06-03,Idaho,2,NA,NA,NA,NA
4145,2020-06-04,Idaho,2.9,NA,NA,NA,NA
4172,2020-06-05,Idaho,2.7,NA,NA,NA,NA
4199,2020-06-06,Idaho,3.3,NA,NA,NA,NA
4225,2020-06-07,Idaho,1.6,NA,NA,NA,NA
4251,2020-06-08,Idaho,2,NA,NA,NA,NA
4277,2020-06-09,Idaho,2.2,NA,NA,NA,NA
4303,2020-06-10,Idaho,3.1,NA,NA,NA,NA
4330,2020-06-11,Idaho,1.9,NA,NA,NA,NA
4357,2020-06-12,Idaho,4.1,NA,NA,NA,NA
4384,2020-06-13,Idaho,1.9,NA,NA,NA,NA
4411,2020-06-14,Idaho,1.3,NA,NA,NA,NA
4438,2020-06-15,Idaho,1.4,NA,NA,NA,NA
4464,2020-06-16,Idaho,1.8,NA,NA,NA,NA
4489,2020-06-17,Idaho,1.8,NA,NA,NA,NA
4516,2020-06-18,Idaho,2.2,NA,NA,NA,NA
4543,2020-06-19,Idaho,3.5,NA,NA,NA,NA
4570,2020-06-20,Idaho,3.8,NA,NA,NA,NA
4597,2020-06-21,Idaho,2.3,NA,NA,NA,NA
4624,2020-06-22,Idaho,2.3,NA,NA,NA,NA
4651,2020-06-23,Idaho,2.2,NA,NA,NA,NA
4678,2020-06-24,Idaho,3.6,NA,NA,NA,NA
4704,2020-06-25,Idaho,3.7,NA,NA,NA,NA
4731,2020-06-26,Idaho,3.5,NA,NA,NA,NA
4758,2020-06-27,Idaho,1.7,NA,NA,NA,NA
4785,2020-06-28,Idaho,1.9,NA,NA,NA,NA
4812,2020-06-29,Idaho,2.3,NA,NA,NA,NA
4839,2020-06-30,Idaho,3.4,NA,NA,NA,NA
4866,2020-07-01,Idaho,1.7,NA,NA,NA,NA
4893,2020-07-02,Idaho,1.5,NA,NA,NA,NA
4920,2020-07-03,Idaho,6.6,NA,NA,NA,NA
4947,2020-07-04,Idaho,20.1,NA,NA,NA,NA
4973,2020-07-05,Idaho,6.2,NA,NA,NA,NA
14,2020-01-01,Illinois,4.2,0.2,14,22,1.4
41,2020-01-02,Illinois,8.7,0.3,23,28,1.7
68,2020-01-03,Illinois,10.7,0.4,22.9,27,1.2
95,2020-01-04,Illinois,9.7,0.3,22.1,20,1
122,2020-01-05,Illinois,5.9,0.2,9.3,20,1.3
149,2020-01-06,Illinois,NA,0.2,29.6,29,1.4
176,2020-01-07,Illinois,6.8,0.3,30.2,28,1.7
203,2020-01-08,Illinois,3.2,0.2,23.7,27,1.6
230,2020-01-09,Illinois,8.7,0.2,13.7,35,1.6
257,2020-01-10,Illinois,NA,0.2,21.4,29,1.2
284,2020-01-11,Illinois,0.8,0.2,14.9,12,1.1
311,2020-01-12,Illinois,5.3,0.3,27.7,23,1
338,2020-01-13,Illinois,9.2,0.2,15,24,1
365,2020-01-14,Illinois,13.5,0.2,24,28,1.1
392,2020-01-15,Illinois,10.9,0.4,23.8,32,1.4
419,2020-01-16,Illinois,8.9,0.3,24.5,33,1
446,2020-01-17,Illinois,7.5,0.3,35.1,38,1.2
473,2020-01-18,Illinois,7.6,0.3,10.7,23,1.1
500,2020-01-19,Illinois,10.5,0.3,28.8,30,1
527,2020-01-20,Illinois,12.5,0.3,38.4,31,1.3
554,2020-01-21,Illinois,14.9,0.4,41.1,40,2
581,2020-01-22,Illinois,13.2,0.3,22.3,38,1.5
608,2020-01-23,Illinois,13.1,0.3,30.5,29,1.4
635,2020-01-24,Illinois,8.6,0.4,27.8,33,1.2
662,2020-01-25,Illinois,10.5,0.5,16.5,19,1.1
689,2020-01-26,Illinois,10.8,0.4,8.8,20,1.1
716,2020-01-27,Illinois,12,0.4,31.6,31,1.1
743,2020-01-28,Illinois,8.8,0.4,28.6,27,1
770,2020-01-29,Illinois,7.1,0.2,29.6,30,1.1
797,2020-01-30,Illinois,18.1,0.3,28.4,45,1.1
824,2020-01-31,Illinois,15.9,0.3,21.3,36,1.2
851,2020-02-01,Illinois,12.1,0.3,13.8,28,1.2
878,2020-02-02,Illinois,6.5,0.3,28.8,22,1.8
905,2020-02-03,Illinois,10.2,0.3,42.1,26,2.8
932,2020-02-04,Illinois,5.2,0.2,11.3,15,1.1
959,2020-02-05,Illinois,3.3,0.2,16.6,16,1.4
986,2020-02-06,Illinois,5.9,0.2,18.2,16,1.1
1013,2020-02-07,Illinois,8.4,0.3,41.9,37,1.3
1040,2020-02-08,Illinois,15.7,0.3,26.9,31,1.2
1067,2020-02-09,Illinois,10,0.3,16.1,29,0.9
1094,2020-02-10,Illinois,13.3,0.4,32.3,26,1.1
1121,2020-02-11,Illinois,10.5,0.4,25.3,32,1.1
1148,2020-02-12,Illinois,11,0.3,32.9,46,1.1
1175,2020-02-13,Illinois,7.8,0.3,32.8,21,0.9
1202,2020-02-14,Illinois,12.5,0.4,32.8,45,1.1
1229,2020-02-15,Illinois,8.4,0.2,18.3,30,1.3
1256,2020-02-16,Illinois,11.4,0.3,39.7,33,1.7
1283,2020-02-17,Illinois,11.5,0.3,61.1,41,1.5
1310,2020-02-18,Illinois,9.7,0.3,17.4,25,1
1337,2020-02-19,Illinois,8,0.3,25.4,27,0.8
1364,2020-02-20,Illinois,6,0.3,23.3,28,0.9
1391,2020-02-21,Illinois,9.1,0.3,16.8,46,1.1
1418,2020-02-22,Illinois,8.7,0.2,14.8,32,1.6
1445,2020-02-23,Illinois,12.9,0.3,30.9,30,1.7
1472,2020-02-24,Illinois,13.6,0.3,34.9,25,1.4
1499,2020-02-25,Illinois,10.4,0.2,10.7,18,1.1
1526,2020-02-26,Illinois,4.7,0.2,16.7,19,0.9
1553,2020-02-27,Illinois,6.9,0.3,26.1,30,1
1580,2020-02-28,Illinois,9.8,0.4,33.3,27,1.5
1607,2020-02-29,Illinois,7.4,0.3,29.3,23,1.1
1634,2020-03-01,Illinois,7.5,0.3,8.6,27,1.7
1661,2020-03-02,Illinois,8,0.3,36.6,34,1.2
1688,2020-03-03,Illinois,8.4,0.3,26.1,31,1.6
1715,2020-03-04,Illinois,5.7,0.3,42.8,29,1.2
1742,2020-03-05,Illinois,5.2,0.5,39.9,43,1.8
1769,2020-03-06,Illinois,5.6,0.3,28.3,18,0.9
1796,2020-03-07,Illinois,7.2,0.5,38.3,32,1.1
1822,2020-03-08,Illinois,7.3,0.3,5.7,30,1.6
1848,2020-03-09,Illinois,9.4,0.3,13.4,28,1.5
1875,2020-03-10,Illinois,12.9,0.4,28.7,23,1.3
1902,2020-03-11,Illinois,16.9,0.5,27.5,37,1.3
1929,2020-03-12,Illinois,12.1,0.4,24.1,34,1.2
1956,2020-03-13,Illinois,4.8,0.4,14.3,21,1.1
1983,2020-03-14,Illinois,6.8,0.4,9.3,17,1.7
2010,2020-03-15,Illinois,7,0.3,23.8,18,1.7
2037,2020-03-16,Illinois,11.6,0.5,37.4,32,1
2064,2020-03-17,Illinois,9.3,0.4,44.4,26,5.5
2091,2020-03-18,Illinois,6.7,0.3,36.5,37,1.6
2118,2020-03-19,Illinois,3.3,0.3,19.8,21,1.4
2145,2020-03-20,Illinois,5.4,0.3,12.9,16,1.3
2172,2020-03-21,Illinois,5.2,0.2,25.8,16,1
2199,2020-03-22,Illinois,9.4,0.2,35.9,25,1.4
2226,2020-03-23,Illinois,9.5,0.3,37.8,27,1.1
2253,2020-03-24,Illinois,13.6,0.3,38.3,39,4.6
2280,2020-03-25,Illinois,9.6,0.4,47,51,1.5
2307,2020-03-26,Illinois,13.4,0.2,22.9,25,1.8
2334,2020-03-27,Illinois,9.5,0.2,26.4,25,2.7
2361,2020-03-28,Illinois,11.9,0.3,26.2,22,1.6
2388,2020-03-29,Illinois,4.8,0.3,3.9,15,1.4
2415,2020-03-30,Illinois,3.4,0.4,20.1,21,3.1
2442,2020-03-31,Illinois,8.5,0.2,15,15,1.5
2468,2020-04-01,Illinois,6.3,0.2,26,22,1.5
2494,2020-04-02,Illinois,9.3,0.3,27.1,39,8
2520,2020-04-03,Illinois,11.8,0.3,40.7,43,4.3
2546,2020-04-04,Illinois,8.5,0.3,15.5,19,1.2
2572,2020-04-05,Illinois,7.9,0.2,27.4,21,3.1
2598,2020-04-06,Illinois,11.1,0.4,41.6,45,1.5
2624,2020-04-07,Illinois,11.4,0.4,21,42,1.7
2651,2020-04-08,Illinois,12.8,0.3,21.3,34,1.8
2677,2020-04-09,Illinois,6.7,0.2,15.4,29,1.6
2704,2020-04-10,Illinois,5.8,0.3,33.9,27,1.2
2731,2020-04-11,Illinois,9.7,0.3,35.7,42,1.9
2758,2020-04-12,Illinois,9.3,0.3,7.5,25,1.8
2785,2020-04-13,Illinois,6,0.2,9.9,21,1.3
2812,2020-04-14,Illinois,5.5,0.3,26.7,25,1.1
2839,2020-04-15,Illinois,7.8,0.4,31.8,23,1.1
2866,2020-04-16,Illinois,8.9,0.4,26.1,27,1
2892,2020-04-17,Illinois,11.5,0.2,26.1,24,0.7
2918,2020-04-18,Illinois,10,0.2,11.3,30,1
2944,2020-04-19,Illinois,7,0.3,24.4,22,1.2
2971,2020-04-20,Illinois,7.3,0.4,35.6,34,1.3
2997,2020-04-21,Illinois,5,0.2,27.3,25,4.2
3023,2020-04-22,Illinois,4.7,0.2,30.6,48,2.8
3050,2020-04-23,Illinois,6.5,0.2,28.6,48,2
3077,2020-04-24,Illinois,23.7,0.2,17.3,36,1.1
3103,2020-04-25,Illinois,9.6,0.2,20.6,24,1.1
3129,2020-04-26,Illinois,7.1,0.2,31,22,0.9
3156,2020-04-27,Illinois,6.6,0.3,31.4,48,2
3183,2020-04-28,Illinois,8.1,0.3,16.7,35,1.3
3210,2020-04-29,Illinois,4.3,0.2,17.8,15,1.4
3237,2020-04-30,Illinois,NA,0.2,28.7,15,1.4
3264,2020-05-01,Illinois,NA,0.2,NA,NA,NA
3366,2020-05-05,Illinois,5.6,NA,NA,NA,NA
3393,2020-05-06,Illinois,6.7,NA,NA,NA,NA
3420,2020-05-07,Illinois,7.4,NA,NA,NA,NA
3447,2020-05-08,Illinois,5.3,NA,NA,NA,NA
3474,2020-05-09,Illinois,5.3,NA,NA,NA,NA
3500,2020-05-10,Illinois,4.3,NA,NA,NA,NA
3527,2020-05-11,Illinois,4.2,NA,NA,NA,NA
3554,2020-05-12,Illinois,7,NA,NA,NA,NA
3580,2020-05-13,Illinois,9.7,NA,NA,NA,NA
3606,2020-05-14,Illinois,11.5,NA,NA,NA,NA
3632,2020-05-15,Illinois,5.1,NA,NA,NA,NA
3658,2020-05-16,Illinois,7.6,NA,NA,NA,NA
3683,2020-05-17,Illinois,6.4,NA,NA,NA,NA
3708,2020-05-18,Illinois,2.8,NA,NA,NA,NA
3732,2020-05-19,Illinois,6.2,NA,NA,NA,NA
3758,2020-05-20,Illinois,5,NA,NA,NA,NA
3785,2020-05-21,Illinois,6.7,NA,NA,NA,NA
3811,2020-05-22,Illinois,7.6,NA,NA,NA,NA
3838,2020-05-23,Illinois,8.7,NA,NA,NA,NA
3865,2020-05-24,Illinois,8.2,NA,NA,NA,NA
3891,2020-05-25,Illinois,6.8,NA,NA,NA,NA
3915,2020-05-26,Illinois,9.3,NA,NA,NA,NA
3940,2020-05-27,Illinois,6.3,NA,NA,NA,NA
3966,2020-05-28,Illinois,5.6,NA,NA,NA,NA
3990,2020-05-29,Illinois,5.3,NA,NA,NA,NA
4014,2020-05-30,Illinois,4.8,NA,NA,NA,NA
4040,2020-05-31,Illinois,5.1,NA,NA,NA,NA
4066,2020-06-01,Illinois,4.9,NA,NA,NA,NA
4093,2020-06-02,Illinois,10.7,NA,NA,NA,NA
4120,2020-06-03,Illinois,7.3,NA,NA,NA,NA
4146,2020-06-04,Illinois,4.6,NA,NA,NA,NA
4173,2020-06-05,Illinois,7.7,NA,NA,NA,NA
4200,2020-06-06,Illinois,9.3,NA,NA,NA,NA
4226,2020-06-07,Illinois,5.4,NA,NA,NA,NA
4252,2020-06-08,Illinois,6.3,NA,NA,NA,NA
4278,2020-06-09,Illinois,6.6,NA,NA,NA,NA
4304,2020-06-10,Illinois,9.8,NA,NA,NA,NA
4331,2020-06-11,Illinois,5.1,NA,NA,NA,NA
4358,2020-06-12,Illinois,5.6,NA,NA,NA,NA
4385,2020-06-13,Illinois,3.5,NA,NA,NA,NA
4412,2020-06-14,Illinois,5.6,NA,NA,NA,NA
4439,2020-06-15,Illinois,4.8,NA,NA,NA,NA
4465,2020-06-16,Illinois,9,NA,NA,NA,NA
4490,2020-06-17,Illinois,9.6,NA,NA,NA,NA
4517,2020-06-18,Illinois,12.6,NA,NA,NA,NA
4544,2020-06-19,Illinois,11.7,NA,NA,NA,NA
4571,2020-06-20,Illinois,11.5,NA,NA,NA,NA
4598,2020-06-21,Illinois,8,NA,NA,NA,NA
4625,2020-06-22,Illinois,5.8,NA,NA,NA,NA
4652,2020-06-23,Illinois,3.8,NA,NA,NA,NA
4679,2020-06-24,Illinois,4.6,NA,NA,NA,NA
4705,2020-06-25,Illinois,5.3,NA,NA,NA,NA
4732,2020-06-26,Illinois,8.3,NA,NA,NA,NA
4759,2020-06-27,Illinois,11.1,NA,NA,NA,NA
4786,2020-06-28,Illinois,8.6,NA,NA,NA,NA
4813,2020-06-29,Illinois,16.8,NA,NA,NA,NA
4840,2020-06-30,Illinois,7.6,NA,NA,NA,NA
4867,2020-07-01,Illinois,6.5,NA,NA,NA,NA
4894,2020-07-02,Illinois,9.7,NA,NA,NA,NA
4921,2020-07-03,Illinois,11.5,NA,NA,NA,NA
4948,2020-07-04,Illinois,19.8,NA,NA,NA,NA
4974,2020-07-05,Illinois,18.2,NA,NA,NA,NA
15,2020-01-01,Indiana,3.7,0.2,17.6,16,0.8
42,2020-01-02,Indiana,5.5,0.5,22.3,15,0.8
69,2020-01-03,Indiana,11.2,0.4,16.7,23,0.9
96,2020-01-04,Indiana,8.9,0.2,6.4,11,10.9
123,2020-01-05,Indiana,5.9,0.3,18.7,10,11.7
150,2020-01-06,Indiana,5.3,0.5,27.5,34,2.4
177,2020-01-07,Indiana,6.5,0.6,NA,25,1.3
204,2020-01-08,Indiana,2.7,0.4,NA,13,24.6
231,2020-01-09,Indiana,3.8,0.3,15.6,17,1.2
258,2020-01-10,Indiana,6.7,0.3,NA,9,2.9
285,2020-01-11,Indiana,2,0.3,9.4,7,0.6
312,2020-01-12,Indiana,3.2,0.2,9.9,7,4.5
339,2020-01-13,Indiana,NA,0.4,23.8,11,0.8
366,2020-01-14,Indiana,NA,0.8,23.5,30,0.8
393,2020-01-15,Indiana,NA,0.8,15.4,18,15.8
420,2020-01-16,Indiana,NA,0.4,5.5,11,13.8
447,2020-01-17,Indiana,7.9,0.4,13.9,14,1.6
474,2020-01-18,Indiana,4.5,0.3,4.8,10,0.4
501,2020-01-19,Indiana,8.1,0.2,13,12,16
528,2020-01-20,Indiana,8.3,0.3,16.8,15,1
555,2020-01-21,Indiana,11.9,0.4,28.1,21,1.9
582,2020-01-22,Indiana,15.4,0.5,27.4,17,1
609,2020-01-23,Indiana,10.7,0.5,20.8,20,0.8
636,2020-01-24,Indiana,4.1,0.3,12.3,13,0.6
663,2020-01-25,Indiana,5.7,0.3,9.5,7,0.4
690,2020-01-26,Indiana,6.3,0.5,20.1,14,0.4
717,2020-01-27,Indiana,11.2,0.5,24.6,22,3.3
744,2020-01-28,Indiana,5,0.4,8.5,14,1
771,2020-01-29,Indiana,6.3,0.4,12.4,15,1.6
798,2020-01-30,Indiana,9.2,0.5,17.1,18,0.7
825,2020-01-31,Indiana,13,0.5,17.1,16,0.4
852,2020-02-01,Indiana,12.9,0.5,20.7,25,0.4
879,2020-02-02,Indiana,8.7,0.5,23,24,1
906,2020-02-03,Indiana,16.2,0.4,25,19,3.9
933,2020-02-04,Indiana,5,0.3,11.4,15,0.4
960,2020-02-05,Indiana,2.6,0.3,8,8,1.3
987,2020-02-06,Indiana,3.9,0.3,8.9,5,0.5
1014,2020-02-07,Indiana,4.3,0.3,8.9,14,4.8
1041,2020-02-08,Indiana,10.4,0.6,24.5,17,2.9
1068,2020-02-09,Indiana,12.2,0.6,15.7,12,1.6
1095,2020-02-10,Indiana,8.1,0.3,7.6,13,0.7
1122,2020-02-11,Indiana,9.8,0.5,22.9,16,11.9
1149,2020-02-12,Indiana,15,0.5,20.7,19,0.5
1176,2020-02-13,Indiana,4.5,0.3,7.5,12,19.2
1203,2020-02-14,Indiana,8.4,0.4,25,17,1.2
1230,2020-02-15,Indiana,8.4,0.4,27.2,20,1.1
1257,2020-02-16,Indiana,6.4,0.8,21.1,15,3.7
1284,2020-02-17,Indiana,10.1,0.5,18.5,19,1
1311,2020-02-18,Indiana,7.4,0.1,12.3,6,35.9
1338,2020-02-19,Indiana,6.9,0.3,10,15,1.5
1365,2020-02-20,Indiana,6.8,0.2,7.6,9,1.3
1392,2020-02-21,Indiana,4.5,0.5,32.5,15,1.1
1419,2020-02-22,Indiana,9.5,0.4,30.1,24,1.1
1446,2020-02-23,Indiana,8.8,0.4,29.1,21,1.1
1473,2020-02-24,Indiana,5.7,0.4,8.8,12,0.5
1500,2020-02-25,Indiana,2.9,0.4,5.3,11,0.4
1527,2020-02-26,Indiana,1.6,0.3,4.3,8,5.2
1554,2020-02-27,Indiana,3.7,0.2,10.2,9,31.5
1581,2020-02-28,Indiana,3.6,0.3,6,15,24.8
1608,2020-02-29,Indiana,6.9,0.3,29.6,21,10.1
1635,2020-03-01,Indiana,7.1,0.3,19.2,15,1
1662,2020-03-02,Indiana,7.7,0.4,11.8,18,0.8
1689,2020-03-03,Indiana,6.4,0.6,24.6,17,1.4
1716,2020-03-04,Indiana,6.5,0.6,18.6,11,1.8
1743,2020-03-05,Indiana,9.6,0.4,22.8,20,1.3
1770,2020-03-06,Indiana,3.2,0.4,16,8,8.5
1797,2020-03-07,Indiana,10.7,0.4,28.3,10,0.6
1823,2020-03-08,Indiana,7.9,0.6,22.2,16,4.1
1849,2020-03-09,Indiana,7.6,0.2,8.7,26,0.7
1876,2020-03-10,Indiana,5,0.3,5.8,7,0.4
1903,2020-03-11,Indiana,9.1,0.5,17.6,26,0.4
1930,2020-03-12,Indiana,10.1,0.6,12.9,26,24.5
1957,2020-03-13,Indiana,2,0.3,8.4,6,17.9
1984,2020-03-14,Indiana,6.3,0.3,6.7,11,2.6
2011,2020-03-15,Indiana,7.7,0.3,8.1,13,1
2038,2020-03-16,Indiana,9,0.3,10.4,14,1.2
2065,2020-03-17,Indiana,10.1,0.5,14.6,17,4.7
2092,2020-03-18,Indiana,6.7,0.5,NA,15,1.3
2119,2020-03-19,Indiana,3,0.4,10.4,6,1.2
2146,2020-03-20,Indiana,1.7,0.3,6.6,9,0.9
2173,2020-03-21,Indiana,4.6,0.3,7.3,9,2.7
2200,2020-03-22,Indiana,8.7,0.3,9.6,9,1.5
2227,2020-03-23,Indiana,10.3,0.3,19,17,1.4
2254,2020-03-24,Indiana,12.9,0.4,12.6,18,1.2
2281,2020-03-25,Indiana,8.6,0.3,13.3,14,1.4
2308,2020-03-26,Indiana,9.4,0.4,16.9,20,1.6
2335,2020-03-27,Indiana,8.5,0.4,10.9,17,1
2362,2020-03-28,Indiana,10.4,0.4,11.2,16,2.2
2389,2020-03-29,Indiana,1.2,0.3,6.5,10,1.7
2416,2020-03-30,Indiana,1.3,0.3,14.3,7,36
2443,2020-03-31,Indiana,4.4,0.3,5.5,6,1.2
2469,2020-04-01,Indiana,12.3,0.4,10.3,18,1.2
2495,2020-04-02,Indiana,16.3,0.5,20.2,27,4
2521,2020-04-03,Indiana,13.6,0.5,19.7,31,1
