"region","Total_Payments","code"
"Alabama",24832780.79,"AL"
"Alaska",1863650.12,"AK"
"Arizona",33450297.23,"AZ"
"Arkansas",14999382.8,"AR"
"California",149619281.09,"CA"
"Colorado",30838726.68,"CO"
"Connecticut",27613966.01,"CT"
"Delaware",6205082.76,"DE"
"District of columbia",6380522.91,"DC"
"Florida",122078914.1,"FL"
"Georgia",45692893.89,"GA"
"Hawaii",5255700.45,"HI"
"Idaho",8665250.78,"ID"
"Illinois",85241517.06,"IL"
"Indiana",42380540.31,"IN"
"Iowa",22991116.09,"IA"
"Kansas",20429862.54,"KS"
"Kentucky",23813358.34,"KY"
"Louisiana",24825360.53,"LA"
"Maine",6417604.51,"ME"
"Maryland",45419231.63,"MD"
"Massachusetts",60031639.91,"MA"
"Michigan",76324855.05,"MI"
"Minnesota",53395557.19,"MN"
"Mississippi",11314730.55,"MS"
"Missouri",40870402.28,"MO"
"Montana",6860454.05,"MT"
"Nebraska",15717853.82,"NE"
"Nevada",10391994.93,"NV"
"New hampshire",11361747.58,"NH"
"New jersey",59823161.16,"NJ"
"New mexico",7271931.27,"NM"
"New york",103948667.46,"NY"
"North carolina",73429505.32,"NC"
"North dakota",7773654.18,"ND"
"Ohio",73853677.49,"OH"
"Oklahoma",17006494.88,"OK"
"Oregon",25239143.44,"OR"
"Pennsylvania",97856090.61,"PA"
"Rhode island",5423608.3,"RI"
"South carolina",28143712.81,"SC"
"South dakota",8839180.23,"SD"
"Tennessee",36117802.13,"TN"
"Texas",117028826.62,"TX"
"Utah",19354246.59,"UT"
"Vermont",4795995.38,"VT"
"Virginia",53598472.49,"VA"
"Washington",44462413.98,"WA"
"West virginia",9353436.15,"WV"
"Wisconsin",55708412.2,"WI"
"Wyoming",2860716.51,"WY"
