STAGE.NUMBER,PROVIDER.STATE,N
Stage 2,Maine,10
Stage 2,Maryland,15
Stage 2,Massachusetts,29
Stage 2,Michigan,44
Stage 2,Minnesota,42
Stage 2,Mississippi,24
Stage 2,Missouri,44
Stage 2,Montana,13
Stage 2,Nebraska,28
Stage 2,Nevada,8
Stage 2,New Hampshire,14
Stage 2,New Jersey,26
Stage 2,New Mexico,8
Stage 2,New York,54
Stage 2,North Carolina,24
Stage 2,North Dakota,12
Stage 2,Ohio,67
Stage 2,Oklahoma,18
Stage 2,Oregon,14
Stage 2,Pennsylvania,66
Stage 2,Rhode Island,4
Stage 2,South Carolina,18
Stage 2,South Dakota,19
Stage 2,Tennessee,35
Stage 2,Texas,110
Stage 2,Utah,5
Stage 2,Vermont,6
Stage 2,Virginia,43
Stage 2,Washington,30
Stage 2,West Virginia,8
Stage 2,Wisconsin,39
Stage 2,Wyoming,2
Stage 1,Alabama,75
Stage 1,Alaska,11
Stage 1,Arizona,59
Stage 1,Arkansas,57
Stage 1,California,287
Stage 1,Colorado,52
Stage 1,Connecticut,27
Stage 1,Delaware,4
Stage 1,District Of Columbia,6
Stage 1,Florida,166
Stage 1,Georgia,107
Stage 1,Hawaii,9
Stage 1,Idaho,20
Stage 1,Illinois,148
Stage 1,Indiana,99
Stage 1,Iowa,80
Stage 1,Kansas,77
Stage 1,Kentucky,54
Stage 1,Louisiana,90
Stage 1,Maine,24
Stage 1,Maryland,36
Stage 1,Massachusetts,56
Stage 1,Michigan,109
Stage 1,Minnesota,77
Stage 1,Mississippi,62
Stage 1,Missouri,94
Stage 1,Montana,39
Stage 1,Nebraska,62
Stage 1,Nevada,20
Stage 1,New Hampshire,19
Stage 1,New Jersey,59
Stage 1,New Mexico,29
Stage 1,New York,144
Stage 1,North Carolina,83
Stage 1,North Dakota,12
Stage 1,Ohio,134
Stage 1,Oklahoma,92
Stage 1,Oregon,44
Stage 1,Pennsylvania,148
Stage 1,Rhode Island,12
Stage 1,South Carolina,49
Stage 1,South Dakota,32
Stage 1,Tennessee,92
Stage 1,Texas,295
Stage 1,Utah,42
Stage 1,Vermont,11
Stage 1,Virginia,75
Stage 1,Washington,67
Stage 1,West Virginia,34
Stage 1,Wisconsin,82
Stage 1,Wyoming,15
Stage 1,Alabama,53
Stage 1,Alaska,5
Stage 1,Arizona,40
Stage 1,Arkansas,40
Stage 1,California,187
Stage 1,Colorado,41
Stage 1,Connecticut,22
Stage 1,Delaware,1
Stage 1,District Of Columbia,1
Stage 1,Florida,127
Stage 1,Georgia,81
Stage 1,Hawaii,9
Stage 1,Idaho,15
Stage 1,Illinois,97
Stage 1,Indiana,79
Stage 1,Iowa,71
Stage 1,Kansas,58
Stage 1,Kentucky,43
Stage 1,Louisiana,59
Stage 1,Maine,17
Stage 1,Maryland,22
Stage 1,Massachusetts,42
Stage 1,Michigan,66
Stage 1,Minnesota,86
Stage 1,Mississippi,47
Stage 1,Missouri,70
