"city","city_ascii","state_id","State","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id","Total_Payments"
"Prattville","Prattville","AL","Alabama",1001,"Autauga",32.4604,-86.4589,35498,35498,405,"polygon",TRUE,"America/Chicago","36066 36067 36068",1840004086,67321
"Fairhope","Fairhope","AL","Alabama",1003,"Baldwin",30.5221,-87.8817,20935,20935,580,"polygon",TRUE,"America/Chicago","36532",1840002039,434969
"Elberta","Elberta","AL","Alabama",1003,"Baldwin",30.3847,-87.5886,1714,1714,96,"polygon",TRUE,"America/Chicago","36530",1840017125,22840
"Robertsdale","Robertsdale","AL","Alabama",1003,"Baldwin",30.5533,-87.706,8784,6098,431,"polygon",TRUE,"America/Chicago","36567",1840014981,22840
"Foley","Foley","AL","Alabama",1003,"Baldwin",30.3987,-87.6646,33113,18288,221,"polygon",TRUE,"America/Chicago","36535 36530 36536",1840002084,182720
"Daphne","Daphne","AL","Alabama",1003,"Baldwin",30.6291,-87.8872,69065,25960,608,"polygon",TRUE,"America/Chicago","36527 36526",1840006178,267672
"Louisville","Louisville","AL","Alabama",1005,"Barbour",31.781,-85.5583,468,468,65,"polygon",TRUE,"America/Chicago","36048",1840003795,5253186
"Clayton","Clayton","AL","Alabama",1005,"Barbour",31.8822,-85.4604,2871,2871,163,"polygon",TRUE,"America/Chicago","36016",1840001251,287125
"Eufaula","Eufaula","AL","Alabama",1005,"Barbour",31.9102,-85.1505,8727,12044,78,"polygon",TRUE,"America/Chicago","36027 36072",1840001685,22840
"Clio","Clio","AL","Alabama",1005,"Barbour",31.7085,-85.6109,1476,1476,56,"polygon",TRUE,"America/Chicago","36017",1840014926,34260
"Centreville","Centreville","AL","Alabama",1007,"Bibb",32.9597,-87.1334,2680,2680,109,"polygon",TRUE,"America/Chicago","35042",1840007089,152212
"Woodstock","Woodstock","AL","Alabama",1007,"Bibb",33.2194,-87.1489,4094,1596,87,"polygon",TRUE,"America/Chicago","35188 35111",1840016895,657354
"Blountsville","Blountsville","AL","Alabama",1009,"Blount",34.0814,-86.5867,1670,1670,118,"polygon",TRUE,"America/Chicago","35031",1840015600,11420
"Oneonta","Oneonta","AL","Alabama",1009,"Blount",33.9392,-86.4929,5432,6638,162,"polygon",TRUE,"America/Chicago","35121",1840005206,349206
"Cleveland","Cleveland","AL","Alabama",1009,"Blount",33.9965,-86.5671,1308,1308,64,"polygon",TRUE,"America/Chicago","35049 35121",1840016718,9518878
"Hayden","Hayden","AL","Alabama",1009,"Blount",33.882,-86.7839,1348,1348,129,"polygon",TRUE,"America/Chicago","35180 35079",1840015601,49087
"Midway","Midway","AL","Alabama",1011,"Bullock",32.0764,-85.5244,465,465,54,"polygon",TRUE,"America/Chicago","36053",1840017020,3407
"Greenville","Greenville","AL","Alabama",1013,"Butler",31.8437,-86.6379,5652,7632,137,"polygon",TRUE,"America/Chicago","36037",1840003498,5464541
"Ohatchee","Ohatchee","AL","Alabama",1015,"Calhoun",33.7877,-86.0278,1157,1157,75,"polygon",TRUE,"America/Chicago","36271",1840016782,3407
"Piedmont","Piedmont","AL","Alabama",1015,"Calhoun",33.9267,-85.6157,3471,4618,181,"polygon",TRUE,"America/Chicago","36272",1840014781,115368
"Oxford","Oxford","AL","Alabama",1015,"Calhoun",33.5967,-85.8691,21180,21180,257,"polygon",TRUE,"America/Chicago","36260 36203 36253",1840014780,582177
"Jacksonville","Jacksonville","AL","Alabama",1015,"Calhoun",33.8088,-85.7544,12612,12612,444,"polygon",TRUE,"America/Chicago","36265",1840007433,6759318
