"region","Total_Payments","code"
"Alabama",5343038.16,"AL"
"Alaska",445165.24,"AK"
"Arizona",6568323.03,"AZ"
"Arkansas",3476874.14,"AR"
"California",31805192.5,"CA"
"Colorado",6527731.92,"CO"
"Connecticut",6356374.58,"CT"
"Delaware",1353884.06,"DE"
"District of columbia",1503386.87,"DC"
"Florida",26268446.57,"FL"
"Georgia",11050309.72,"GA"
"Hawaii",1094722.36,"HI"
"Idaho",2009352.59,"ID"
"Illinois",18278809.02,"IL"
"Indiana",10561809.41,"IN"
"Iowa",5213388.15,"IA"
"Kansas",4412851.11,"KS"
"Kentucky",5790694.81,"KY"
"Louisiana",5901949.78,"LA"
"Maine",1320650.31,"ME"
"Maryland",11071145.93,"MD"
"Massachusetts",13234523.17,"MA"
"Michigan",17384434.21,"MI"
"Minnesota",13952974.86,"MN"
"Mississippi",2500144.96,"MS"
"Missouri",8671067.3,"MO"
"Montana",1551680.77,"MT"
"Nebraska",3687666.71,"NE"
"Nevada",1844360,"NV"
"New hampshire",2149197.91,"NH"
"New jersey",12508245.23,"NJ"
"New mexico",1486238.75,"NM"
"New york",22572758.78,"NY"
"North carolina",17936237.25,"NC"
"North dakota",1857263.36,"ND"
"Ohio",18445206.38,"OH"
"Oklahoma",3785545.74,"OK"
"Oregon",5670838.37,"OR"
"Pennsylvania",21299402.74,"PA"
"Rhode island",933690.72,"RI"
"South carolina",6843598.07,"SC"
"South dakota",1965395.42,"SD"
"Tennessee",8228823.6,"TN"
"Texas",24030050.84,"TX"
"Utah",3742578.54,"UT"
"Vermont",1086481.02,"VT"
"Virginia",11999138.67,"VA"
"Washington",10188064.42,"WA"
"West virginia",1829230.48,"WV"
"Wisconsin",13648176.84,"WI"
"Wyoming",543988.84,"WY"
