"region","Total_Payments","code"
"Alabama",12244081,"AL"
"Alaska",1074739,"AK"
"Arizona",15248717,"AZ"
"Arkansas",7794758,"AR"
"California",72678014,"CA"
"Colorado",15048457,"CO"
"Connecticut",14481482,"CT"
"Delaware",3005753,"DE"
"District of columbia",3060547,"DC"
"Florida",60833046,"FL"
"Georgia",23592651,"GA"
"Hawaii",2664923,"HI"
"Idaho",4708052,"ID"
"Illinois",41768288,"IL"
"Indiana",22824245,"IN"
"Iowa",12122190,"IA"
"Kansas",10286173,"KS"
"Kentucky",12602207,"KY"
"Louisiana",13158141,"LA"
"Maine",3231448,"ME"
"Maryland",24262523,"MD"
"Massachusetts",32036463,"MA"
"Michigan",38575644,"MI"
"Minnesota",31894289,"MN"
"Mississippi",5961384,"MS"
"Missouri",20410756,"MO"
"Montana",2887407,"MT"
"Nebraska",8149443,"NE"
"Nevada",4185799,"NV"
"New hampshire",5329904,"NH"
"New jersey",28165474,"NJ"
"New mexico",3398269,"NM"
"New york",51693463,"NY"
"North carolina",38866014,"NC"
"North dakota",4489410,"ND"
"Ohio",41355665,"OH"
"Oklahoma",8545883,"OK"
"Oregon",13103909,"OR"
"Pennsylvania",50687925,"PA"
"Rhode island",2613762,"RI"
"South carolina",15103043,"SC"
"South dakota",4705206,"SD"
"Tennessee",18573742,"TN"
"Texas",54872462,"TX"
"Utah",8003565,"UT"
"Vermont",2520731,"VT"
"Virginia",27589373,"VA"
"Washington",22332791,"WA"
"West virginia",4623530,"WV"
"Wisconsin",30891433,"WI"
"Wyoming",1412594,"WY"
