"zip","city","state","latitude","longitude","Total_Payments"
"28207","Charlotte","NC",35.197643,-80.82752,7263462.33
"28208","Charlotte","NC",35.235791,-80.89295,31842.54
"28209","Charlotte","NC",35.178543,-80.85375,1194813.15
"28210","Charlotte","NC",35.13451,-80.85632,4818561.08
"28211","Charlotte","NC",35.170094,-80.79857,3910436.47
"28212","Charlotte","NC",35.189544,-80.74742,169818.43
"28213","Charlotte","NC",35.280464,-80.75678,41847.29
"28214","Charlotte","NC",35.276639,-80.96111,185680
"28215","Charlotte","NC",35.244468,-80.72164,40761.28
"28216","Charlotte","NC",35.286967,-80.87903,234526.77
"28226","Charlotte","NC",35.107804,-80.82139,1093240.59
"28227","Charlotte","NC",35.192919,-80.66822,590376.91
"28260","Charlotte","NC",35.26002,-80.804151,122600
"28262","Charlotte","NC",35.321279,-80.7405,2207496.6
"28269","Charlotte","NC",35.329235,-80.80486,347255.45
"28270","Charlotte","NC",35.113906,-80.7613,322620
"28273","Charlotte","NC",35.124032,-80.93954,427490.94
"28274","Charlotte","NC",35.187943,-80.831693,29760
"28277","Charlotte","NC",35.054546,-80.81792,2797710.42
"28278","Charlotte","NC",35.119012,-81.02213,316640
"28301","Fayetteville","NC",35.042389,-78.84124,19600
"28303","Fayetteville","NC",35.084163,-78.953,260120
"28304","Fayetteville","NC",35.02844,-78.97037,5658279.85
"28305","Fayetteville","NC",35.056963,-78.90369,151600.52
"28306","Fayetteville","NC",35.003712,-78.92179,47760
"28311","Fayetteville","NC",35.134301,-78.89411,48380
"28312","Fayetteville","NC",34.93,-78.72,11760
"28314","Fayetteville","NC",35.060087,-79.00848,641942.56
"28315","Aberdeen","NC",35.12416,-79.4415,157140
"28320","Bladenboro","NC",34.552642,-78.78102,41520
"28327","Carthage","NC",35.319639,-79.40248,35880
"28328","Clinton","NC",35.000056,-78.33424,685177.46
"28334","Dunn","NC",35.302419,-78.6012,271615.19
"28337","Elizabethtown","NC",34.647611,-78.58643,127620
"28339","Erwin","NC",35.322849,-78.68964,107780
"28340","Fairmont","NC",34.476857,-79.13005,79480
"28345","Hamlet","NC",34.879186,-79.69001,178360
"28348","Hope Mills","NC",34.954709,-78.93744,151269.41
"28349","Kenansville","NC",34.977225,-77.94761,128960
"28352","Laurinburg","NC",34.779227,-79.45745,629214.32
"28358","Lumberton","NC",34.620874,-78.98986,1525759.58
"28365","Mount Olive","NC",35.184516,-78.06056,198420
"28372","Pembroke","NC",34.69004,-79.18802,17149.25
"28374","Pinehurst","NC",35.195417,-79.46496,5709856.24
"28376","Raeford","NC",34.992085,-79.23013,113958.2
"28377","Red Springs","NC",34.828798,-79.21215,57440
"28382","Roseboro","NC",34.945305,-78.51432,60000
"28385","Salemburg","NC",35.053627,-78.50025,43480
"28387","Southern Pines","NC",35.180394,-79.39084,972524.47
"28388","Southern Pines","NC",35.280335,-79.432734,14700
"28401","Wilmington","NC",34.235219,-77.94134,7129847.45
"28403","Wilmington","NC",34.221512,-77.88452,3672012.15
"28405","Wilmington","NC",34.254235,-77.87251,648037.92
"28409","Wilmington","NC",34.169953,-77.87113,11760
"28411","Wilmington","NC",34.285519,-77.80572,828877.95
"28412","Wilmington","NC",34.152021,-77.91346,1147053.43
"28422","Bolivia","NC",34.006479,-78.19035,210305.56
"28425","Burgaw","NC",34.554821,-77.92764,204760
"28428","Carolina Beach","NC",34.034336,-77.89903,43720
"28431","Chadbourn","NC",34.312363,-78.83023,38220
"28433","Clarkton","NC",34.491177,-78.64362,42663.62
"28436","Delco","NC",34.275453,-78.26673,11760
"28443","Hampstead","NC",34.407677,-77.65238,133090.35
"28445","Holly Ridge","NC",34.47722,-77.55978,43720
"28451","Leland","NC",34.25124,-78.06492,393209.75
"28457","Rocky Point","NC",34.449782,-77.88697,64680
"28459","Shallotte","NC",33.933388,-78.412864,79628.09
"28461","Southport","NC",33.963111,-78.05743,669919.95
"28462","Supply","NC",33.974251,-78.30961,130311.12
"28463","Tabor City","NC",34.12483,-78.82187,32700
"28465","Oak Island","NC",33.915522,-78.12862,83280
"28466","Wallace","NC",34.738793,-77.97788,165580
"28467","Calabash","NC",33.905566,-78.5759,72880
"28468","Sunset Beach","NC",33.885203,-78.51224,30380
"28469","Ocean Isle Beach","NC",33.913508,-78.44868,109016.51
"28470","South Brunswick","NC",33.9666,-78.3878,417454.44
"28472","Whiteville","NC",34.312063,-78.70773,666536.33
"28501","Kinston","NC",35.260895,-77.56469,932600.74
"28504","Kinston","NC",35.264739,-77.62481,340480
"28509","Alliance","NC",35.156145,-76.632264,38220
"28513","Ayden","NC",35.463012,-77.4161,69680
"28516","Beaufort","NC",34.769532,-76.64783,124080
"28530","Grifton","NC",35.370945,-77.42548,5880
"28532","Havelock","NC",34.884421,-76.88972,289403.47
"28538","Hookerton","NC",35.424381,-77.58452,65040
"28540","Jacksonville","NC",34.755669,-77.4559,162300
"28544","Midway Park","NC",34.724322,-77.31866,1960
"28546","Jacksonville","NC",34.781212,-77.3756,1608624.91
"28551","La Grange","NC",35.320045,-77.78042,43480
"28557","Morehead City","NC",34.729839,-76.75219,1663800.33
"28560","New Bern","NC",35.119674,-77.01509,377960
"28561","New Bern","NC",35.103736,-77.07585,43480
"28562","New Bern","NC",35.091472,-77.09936,5140503.97
"28572","Pink Hill","NC",35.030154,-77.7221,86960
"28573","Pollocksville","NC",35.000858,-77.21501,655660
"28574","Richlands","NC",34.888736,-77.57157,43480
"28577","Sealevel","NC",34.868975,-76.38149,1960
"28580","Snow Hill","NC",35.44451,-77.69186,73480
"28584","Swansboro","NC",34.69771,-77.10614,289400
