state,Date,Travelers
AK,2019/8/3,NA
AK,2019/8/4,NA
AK,2019/8/5,NA
AK,2019/8/6,NA
AK,2019/8/7,NA
AK,2019/8/8,NA
AK,2019/8/9,NA
AK,2019/8/10,NA
AK,2019/8/11,NA
AK,2019/8/12,NA
AK,2019/8/13,NA
AK,2019/8/14,NA
AK,2019/8/15,NA
AK,2019/8/16,NA
AK,2019/8/17,NA
AK,2019/8/18,NA
AK,2019/8/19,NA
AK,2019/8/20,NA
AK,2019/8/21,NA
AK,2019/8/22,NA
AK,2019/8/23,NA
AK,2019/8/24,NA
AK,2019/8/25,NA
AK,2019/8/26,NA
AK,2019/8/27,NA
AK,2019/8/28,NA
AK,2019/8/29,NA
AK,2019/8/30,NA
AK,2019/8/31,NA
AK,2019/9/1,NA
AK,2019/9/2,NA
AK,2019/9/3,NA
AK,2019/9/4,NA
AK,2019/9/5,NA
AK,2019/9/6,NA
AK,2019/9/7,NA
AK,2019/9/8,NA
AK,2019/9/9,NA
AK,2019/9/10,NA
AK,2019/9/11,NA
AK,2019/9/12,NA
AK,2019/9/13,NA
AK,2019/9/14,NA
AK,2019/9/15,NA
AK,2019/9/16,NA
AK,2019/9/17,NA
AK,2019/9/18,NA
AK,2019/9/19,NA
AK,2019/9/20,NA
AK,2019/9/21,NA
AK,2019/9/22,NA
AK,2019/9/23,NA
AK,2019/9/24,NA
AK,2019/9/25,NA
AK,2019/9/26,NA
AK,2019/9/27,NA
AK,2019/9/28,NA
AK,2019/9/29,NA
AK,2019/9/30,NA
AK,2019/10/1,NA
AK,2019/10/2,NA
AK,2019/10/3,NA
AK,2019/10/4,NA
AK,2019/10/5,NA
AK,2019/10/6,NA
AK,2019/10/7,NA
AK,2019/10/8,NA
AK,2019/10/9,NA
AK,2019/10/10,NA
AK,2019/10/11,NA
AK,2019/10/12,NA
AK,2019/10/13,NA
AK,2019/10/14,NA
AK,2019/10/15,NA
AK,2019/10/16,NA
AK,2019/10/17,NA
AK,2019/10/18,NA
AK,2019/10/19,NA
AK,2019/10/20,NA
AK,2019/10/21,NA
AK,2019/10/22,NA
AK,2019/10/23,NA
AK,2019/10/24,NA
AK,2019/10/25,NA
AK,2019/10/26,NA
AK,2019/10/27,NA
AK,2019/10/28,NA
AK,2019/10/29,NA
AK,2019/10/30,NA
AK,2019/10/31,NA
AK,2019/11/1,NA
AK,2019/11/2,NA
AK,2019/11/3,NA
AK,2019/11/4,NA
AK,2019/11/5,NA
AK,2019/11/6,NA
AK,2019/11/7,NA
AK,2019/11/8,NA
AK,2019/11/9,NA
AK,2019/11/10,NA
AK,2019/11/11,NA
AK,2019/11/12,NA
AK,2019/11/13,NA
AK,2019/11/14,NA
AK,2019/11/15,NA
AK,2019/11/16,NA
AK,2019/11/17,NA
AK,2019/11/18,NA
AK,2019/11/19,NA
AK,2019/11/20,NA
AK,2019/11/21,NA
AK,2019/11/22,NA
AK,2019/11/23,NA
AK,2019/11/24,NA
AK,2019/11/25,NA
AK,2019/11/26,NA
AK,2019/11/27,NA
AK,2019/11/28,NA
AK,2019/11/29,NA
AK,2019/11/30,NA
AK,2019/12/1,NA
AK,2019/12/2,NA
AK,2019/12/3,NA
AK,2019/12/4,NA
AK,2019/12/5,NA
AK,2019/12/6,NA
AK,2019/12/7,NA
AK,2019/12/8,NA
AK,2019/12/9,NA
AK,2019/12/10,NA
AK,2019/12/11,NA
AK,2019/12/12,NA
AK,2019/12/13,NA
AK,2019/12/14,NA
AK,2019/12/15,NA
AK,2019/12/16,NA
AK,2019/12/17,NA
AK,2019/12/18,NA
AK,2019/12/19,NA
AK,2019/12/20,NA
AK,2019/12/21,NA
AK,2019/12/22,NA
AK,2019/12/23,NA
AK,2019/12/24,NA
AK,2019/12/25,NA
AK,2019/12/26,NA
AK,2019/12/27,NA
AK,2019/12/28,NA
AK,2019/12/29,NA
AK,2019/12/30,NA
AK,2019/12/31,NA
AK,2020/1/1,NA
AK,2020/1/2,NA
AK,2020/1/3,NA
AK,2020/1/4,NA
AK,2020/1/5,NA
AK,2020/1/6,NA
AK,2020/1/7,NA
AK,2020/1/8,NA
AK,2020/1/9,NA
AK,2020/1/10,NA
AK,2020/1/11,NA
AK,2020/1/12,NA
AK,2020/1/13,NA
AK,2020/1/14,NA
AK,2020/1/15,NA
AK,2020/1/16,NA
AK,2020/1/17,NA
AK,2020/1/18,NA
AK,2020/1/19,NA
AK,2020/1/20,NA
AK,2020/1/21,NA
AK,2020/1/22,NA
