"","date","state","PM2.5","CO","NO2","PM10","SO2","AQ_PM2.5","AQ_CO","AQ_NO2","AQ_PM10","AQ_SO2"
"64",2020-03-04,"alabama",4.3,0.2,24.4,13,0.9,"Good","Good","Good","Good","Good"
"65",2020-03-05,"alabama",1.1,0.2,23.5,5,0.7,"Good","Good","Good","Good","Good"
"66",2020-03-06,"alabama",2.7,0.4,28.3,12,0.8,"Good","Good","Good","Good","Good"
"67",2020-03-07,"alabama",5.9,0.4,30.3,9,0.8,"Good","Good","Good","Good","Good"
"68",2020-03-08,"alabama",10,0.3,26.8,14,0.7,"Good","Good","Good","Good","Good"
"69",2020-03-09,"alabama",15.3,0.2,19.1,25,0.7,"Moderate","Good","Good","Good","Good"
"70",2020-03-10,"alabama",11.6,0.2,14.3,12,0.6,"Good","Good","Good","Good","Good"
"71",2020-03-11,"alabama",9.3,0.1,15.9,13,0.7,"Good","Good","Good","Good","Good"
"72",2020-03-12,"alabama",9,0.1,15,19,0.8,"Good","Good","Good","Good","Good"
"73",2020-03-13,"alabama",7,0.1,15.3,17,0.8,"Good","Good","Good","Good","Good"
"74",2020-03-14,"alabama",11,0.1,21,19,0.6,"Good","Good","Good","Good","Good"
"75",2020-03-15,"alabama",14.7,0.2,10,7,0.7,"Moderate","Good","Good","Good","Good"
"76",2020-03-16,"alabama",19.3,0.2,13.2,17,1.6,"Moderate","Good","Good","Good","Good"
"77",2020-03-17,"alabama",19.2,0.3,20.8,32,0.7,"Moderate","Good","Good","Good","Good"
"78",2020-03-18,"alabama",15.8,0.2,18.9,26,0.8,"Moderate","Good","Good","Good","Good"
"79",2020-03-19,"alabama",15.9,0.5,11.7,20,0.7,"Moderate","Good","Good","Good","Good"
"80",2020-03-20,"alabama",16.9,0.2,14.9,21,0.8,"Moderate","Good","Good","Good","Good"
"81",2020-03-21,"alabama",5.1,0.2,13.5,9,0.7,"Good","Good","Good","Good","Good"
"82",2020-03-22,"alabama",6.3,0.1,12.1,12,0.7,"Good","Good","Good","Good","Good"
"83",2020-03-23,"alabama",7.5,0.2,9.6,13,0.6,"Good","Good","Good","Good","Good"
"84",2020-03-24,"alabama",4.8,0.2,14.3,21,0.8,"Good","Good","Good","Good","Good"
"85",2020-03-25,"alabama",7.9,0.2,NA,13,0.7,"Good","Good",NA,"Good","Good"
"86",2020-03-26,"alabama",9.3,0.2,21.7,23,1.4,"Good","Good","Good","Good","Good"
"87",2020-03-27,"alabama",17.2,0.3,17.6,30,0.9,"Moderate","Good","Good","Good","Good"
"88",2020-03-28,"alabama",11.8,0.3,6.6,25,0.7,"Good","Good","Good","Good","Good"
"89",2020-03-29,"alabama",12.7,0.4,9.7,17,0.7,"Moderate","Good","Good","Good","Good"
"90",2020-03-30,"alabama",14.1,0.7,16.6,13,0.8,"Moderate","Good","Good","Good","Good"
"91",2020-03-31,"alabama",11.6,0.2,9.2,10,1.1,"Good","Good","Good","Good","Good"
"92",2020-04-02,"alabama",18.1,0.1,NA,NA,NA,"Moderate","Good",NA,NA,NA
"93",2020-04-03,"alabama",23.6,1,NA,NA,NA,"Moderate","Good",NA,NA,NA
"94",2020-04-04,"alabama",14,0.4,NA,NA,NA,"Moderate","Good",NA,NA,NA
"95",2020-04-05,"alabama",15.3,1,NA,NA,NA,"Moderate","Good",NA,NA,NA
"96",2020-04-06,"alabama",19.7,2,NA,NA,NA,"Moderate","Good",NA,NA,NA
"97",2020-04-07,"alabama",14.4,1.8,NA,NA,NA,"Moderate","Good",NA,NA,NA
"98",2020-04-08,"alabama",8.7,1.7,NA,NA,NA,"Good","Good",NA,NA,NA
"99",2020-04-09,"alabama",7.9,1.2,NA,NA,NA,"Good","Good",NA,NA,NA
"100",2020-04-10,"alabama",4.3,0.8,NA,NA,NA,"Good","Good",NA,NA,NA
"101",2020-04-11,"alabama",11,1.3,NA,NA,NA,"Good","Good",NA,NA,NA
"102",2020-04-12,"alabama",22,3,NA,NA,NA,"Moderate","Good",NA,NA,NA
"103",2020-04-13,"alabama",5.4,2.5,NA,NA,NA,"Good","Good",NA,NA,NA
"104",2020-04-14,"alabama",6.3,2.1,NA,NA,NA,"Good","Good",NA,NA,NA
"105",2020-04-15,"alabama",6.5,0.3,NA,NA,NA,"Good","Good",NA,NA,NA
"106",2020-04-16,"alabama",7.3,0.8,NA,NA,NA,"Good","Good",NA,NA,NA
"107",2020-04-17,"alabama",11,1.9,NA,NA,NA,"Good","Good",NA,NA,NA
"108",2020-04-18,"alabama",8.7,2.8,NA,NA,NA,"Good","Good",NA,NA,NA
"109",2020-04-19,"alabama",6.2,3.2,NA,NA,NA,"Good","Good",NA,NA,NA
"110",2020-04-20,"alabama",3,2.6,NA,NA,NA,"Good","Good",NA,NA,NA
"111",2020-04-21,"alabama",8.5,1.7,NA,NA,NA,"Good","Good",NA,NA,NA
"112",2020-04-22,"alabama",7.4,0.7,NA,NA,NA,"Good","Good",NA,NA,NA
"113",2020-04-23,"alabama",5.3,2,NA,NA,NA,"Good","Good",NA,NA,NA
"114",2020-04-24,"alabama",5,0.6,NA,NA,NA,"Good","Good",NA,NA,NA
"115",2020-04-25,"alabama",6.6,0.8,NA,NA,NA,"Good","Good",NA,NA,NA
"116",2020-04-26,"alabama",2.5,2.5,NA,NA,NA,"Good","Good",NA,NA,NA
"117",2020-04-27,"alabama",4.7,1.8,NA,NA,NA,"Good","Good",NA,NA,NA
"118",2020-04-28,"alabama",11.9,1.8,NA,NA,NA,"Good","Good",NA,NA,NA
"119",2020-04-29,"alabama",8.9,1.2,NA,NA,NA,"Good","Good",NA,NA,NA
"120",2020-04-30,"alabama",2.8,1.8,NA,NA,NA,"Good","Good",NA,NA,NA
"121",2020-05-01,"alabama",6.1,0.8,NA,NA,NA,"Good","Good",NA,NA,NA
"122",2020-05-02,"alabama",12.4,1.5,NA,NA,NA,"Moderate","Good",NA,NA,NA
"123",2020-05-03,"alabama",9,1.6,NA,NA,NA,"Good","Good",NA,NA,NA
"124",2020-05-04,"alabama",8.4,1.3,NA,NA,NA,"Good","Good",NA,NA,NA
"125",2020-05-05,"alabama",9.3,1.4,NA,NA,NA,"Good","Good",NA,NA,NA
"126",2020-05-06,"alabama",3.9,0.4,NA,NA,NA,"Good","Good",NA,NA,NA
"127",2020-05-07,"alabama",4.7,0.6,NA,NA,NA,"Good","Good",NA,NA,NA
"128",2020-05-08,"alabama",9.5,0.7,NA,NA,NA,"Good","Good",NA,NA,NA
"129",2020-05-09,"alabama",4.9,0.8,NA,NA,NA,"Good","Good",NA,NA,NA
"130",2020-05-10,"alabama",7.9,0.8,NA,NA,NA,"Good","Good",NA,NA,NA
"131",2020-05-11,"alabama",8.1,0.9,NA,NA,NA,"Good","Good",NA,NA,NA
"132",2020-05-12,"alabama",9.3,1,NA,NA,NA,"Good","Good",NA,NA,NA
"133",2020-05-13,"alabama",10.1,0.9,NA,NA,NA,"Good","Good",NA,NA,NA
"134",2020-05-14,"alabama",9.2,0.6,NA,NA,NA,"Good","Good",NA,NA,NA
"135",2020-05-15,"alabama",9,0.3,NA,NA,NA,"Good","Good",NA,NA,NA
"136",2020-05-16,"alabama",12.8,1.3,NA,NA,NA,"Moderate","Good",NA,NA,NA
"137",2020-05-20,"alabama",5.3,1.7,NA,NA,NA,"Good","Good",NA,NA,NA
"138",2020-05-21,"alabama",6.6,0.9,NA,NA,NA,"Good","Good",NA,NA,NA
"139",2020-05-22,"alabama",7.5,1.2,NA,NA,NA,"Good","Good",NA,NA,NA
"140",2020-05-23,"alabama",9.2,0.5,NA,NA,NA,"Good","Good",NA,NA,NA
"141",2020-05-24,"alabama",5.3,0.4,NA,NA,NA,"Good","Good",NA,NA,NA
"142",2020-05-25,"alabama",7.1,0.9,NA,NA,NA,"Good","Good",NA,NA,NA
"143",2020-05-26,"alabama",4.9,0.5,NA,NA,NA,"Good","Good",NA,NA,NA
"144",2020-05-27,"alabama",3.9,0.7,NA,NA,NA,"Good","Good",NA,NA,NA
